Date,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BOL,BRA,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,GBR,GEO,GIN,GLP,GRC,GTM,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KNA,KOR,KWT,LAO,LBN,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_CZS,OWID_ERE,OWID_MNS,OWID_PYA,OWID_SRM,OWID_USS,OWID_WRL,OWID_YGS,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SLV,SRB,SVK,SVN,SWE,SWZ,SYR,TCD,THA,TJK,TKM,TLS,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,YEM,ZAF,ZMB,ZWE
1961,8.6667,5.0,7.2134004,,10.211,,12.328501,19.780602,,3.7500002,,,,6.1491003,10.7466,,,,,4.8,5.6485004,6.3063,,1.8000001,16.096,24.300001,8.763801,9.9231,,2.8571002,5.7347007,1.6,11.367001,,10.0,9.876901,11.3,11.683201,,18.059,5.0,20.601301,7.1011004,10.6217,8.3942,16.9657,,11.8126,,,13.739401,2.0,16.099201,12.866701,22.4785,,,7.9412007,7.1210003,4.9708,4.5586004,,15.384601,6.8065004,6.0000005,7.2507005,24.873302,10.0,10.0,18.571402,19.1011,10.383201,5.9472003,7.8947005,17.6977,,7.1852007,,6.6667004,9.729401,,6.0000005,8.0,4.6667004,4.8734,15.000001,,,,10.0,,6.5455003,6.6386003,,,7.6908,2.7849,,9.6471,4.2636003,10.0,7.7500005,6.0000005,,6.1111,,9.0,3.5000002,28.0396,22.9302,5.6098,21.103302,,10.3961,8.0,5.9507003,10.0,,9.4965,12.215701,8.4676,7.4533,10.0,5.2875004,4.6388,6.7692003,16.034,10.833301,9.753501,3.2500002,,10.0,,7.6667004,9.560401,,5.0,8.571401,,9.0,5.7143,,,,17.630001,3.2076004,12.040001,3.8095002,7.9846005,,,3.6757002,7.0000005,9.5578,9.0,3.0000002,9.0909,,6.0415,22.2021,,7.9349003,13.333301,,5.6983,7.6004004,8.6603,9.7805
1962,7.6667004,5.0,5.4341,,8.2576,,13.983201,19.045101,,3.5714002,,,,6.0217004,8.3436,,,,,4.8500004,5.7792006,6.3025002,,1.4000001,18.2152,23.000002,8.3717,9.200001,,2.8571002,5.2543,2.2,11.620001,,10.0,9.754401,11.4156,13.4361,,22.508001,5.0,18.7106,7.3282003,10.0,9.2777,14.631301,,10.160401,,,12.9031,2.0,15.528901,13.873901,22.737303,,,8.2353,7.1705003,3.6154,4.8237004,,15.789501,9.012701,6.0000005,6.7041006,25.007402,10.0,10.0,14.285701,20.884302,9.4531,6.3567004,6.2644,17.0323,,7.1852007,,6.6667004,8.5016,,5.2000003,10.0,5.0,2.2422001,15.000001,,,,9.483701,,7.0833,8.236,,,7.6955004,2.525,,5.3111005,5.1667004,10.0,8.4116,6.2000003,,6.1111,,9.5,3.5800002,30.497002,18.246101,5.6098,21.064901,,9.8901005,8.0,5.9268003,10.0,,8.0218,11.4361,8.080701,9.275401,10.0,5.3635,4.7224,6.3333,12.9951,10.833301,8.779901,3.3333,,10.0,,8.333301,8.521701,,3.9993002,8.6667,,11.6667,6.6087003,,,,18.78,1.5898001,10.899501,4.2857003,8.333301,,,3.7037,7.0345,10.8766,8.3220005,3.0000002,9.1667,,4.4115,22.034601,,7.5837007,15.000001,,5.8152003,6.4992003,10.069,9.3213005
1963,8.1333,5.3191004,7.6758003,,8.769901,,14.7145,21.778002,,3.4409,,,,6.2676005,9.623501,,,,,4.8691,5.8451004,6.3008003,,1.6667,17.9741,26.500002,9.539901,8.0,,3.5884001,5.8900003,2.0,8.3091,,10.0,9.9876,11.2836,9.165701,,23.143902,5.3846,20.8267,7.5810003,9.2466,8.651901,16.7272,,12.3557005,,,15.9426,2.6667001,18.9265,14.276901,21.5449,,,8.0,8.112101,3.6923003,5.0941005,,15.384601,8.737,5.9091005,8.1477,23.750902,11.2903,10.0,12.6761,21.1047,11.359401,9.5486,7.8981004,16.3643,,7.0909004,,6.6667004,8.594901,,5.6000004,10.7692,5.0400004,9.192201,15.000001,,,,9.051201,,7.6667004,8.2763,,,9.065901,3.1422,,7.7778,4.8706,10.0,13.2686,6.4,,8.4615,,10.0,3.5000002,28.783602,23.5806,5.7143,19.911901,,12.964001,8.0,7.5241003,10.0,,8.453,12.276701,8.772,9.0692005,10.0,5.1727004,6.0296006,5.1905003,15.7986,10.833301,10.7231,4.0,,10.0,,8.333301,8.113,,2.5934,8.6667,,12.000001,6.6667004,,,,23.242,2.0346,8.981901,4.2857003,7.6667004,,,3.7037,8.285701,11.4286,7.4832006,3.2503002,9.1667,,4.9572005,22.971,,7.5491004,16.6667,,5.9259,7.7640004,11.676401,9.503301
1964,8.6,5.8824,9.0389,,8.3457,,13.836301,21.8247,,3.4043002,,,,5.8458,12.185801,,,,,5.1000004,6.0564003,6.2992005,,1.7333001,19.0517,26.800001,9.541,8.75,,3.9017,5.986,2.0,11.434001,,10.0,10.178401,11.076,14.1036005,,20.9811,5.3846,22.307302,7.0164003,7.0342007,8.340501,16.3852,,11.6488,,,11.9578,2.4490001,16.7369,12.3306,22.534302,,,8.0,9.3365,4.0588,5.3161,,15.625001,7.8610005,5.5833,6.2482004,20.6837,10.937501,10.0,11.971801,23.6022,10.744,6.6431003,6.7702007,17.7422,,7.037,,6.6667004,12.1997,,5.6000004,10.833301,5.0,5.9609003,15.000001,,,,10.3297,,7.1845,8.5401,,,7.0138,3.1272001,,8.5185,6.0219,10.0,12.102,6.0000005,,9.1667,,10.500001,4.3333,32.990105,16.4064,5.7813,19.853,,15.595701,8.0,6.9508,10.0,,10.993401,13.102701,8.158601,9.0733,10.0,5.8552003,6.8735003,3.7143002,16.9141,10.833301,10.4687,4.0,,10.0,,8.333301,8.2285,,2.2821002,8.75,,10.0,7.0000005,,,,21.3757,2.1667001,9.938701,4.3478,6.6667004,,,3.6965,7.9077005,11.7241,11.880901,3.4889002,9.230801,,4.052,21.244802,,8.295501,16.6667,,6.0309,8.3125,8.505701,13.381201
1965,8.8,5.7034,5.7544003,,12.217001,,14.5078,17.5672,,3.3333,,,,7.2386003,7.7830005,,,,,5.0,6.1598,6.4202003,,2.1000001,17.313501,23.100302,7.7219005,9.4118,,2.5556002,5.5556,2.2,11.463,,10.0,9.9995,11.1316,15.983001,,20.518803,5.3846,23.0659,7.215,8.1919,8.8941,18.0292,,11.071,,,17.2957,2.0833,19.5147,12.873901,25.335402,,,6.0000005,9.276701,4.2917004,5.6071005,,15.000001,7.1881003,5.7500005,8.4033,23.358301,10.6061,10.0,17.6056,21.533302,10.190801,9.2163,9.6341,19.0813,,7.037,,6.6667004,9.644701,,5.7692003,12.026901,4.1095004,3.1456003,15.000001,,,,10.47,,7.0588,8.1558,,,5.5540004,3.1426003,,9.037001,6.1818,10.0,9.280401,6.1818,,7.3333,,11.000001,4.3333,25.889803,23.4752,6.6512003,21.784601,,16.449402,8.0,6.4754004,10.0,,10.296801,12.6646,6.9435005,9.284901,10.0,6.2450004,6.3315005,3.8889,15.4293,10.833301,8.7781,4.0,,10.0,,15.000001,7.0388002,,3.0030003,8.75,,10.6,7.6667004,,,,24.847002,2.1538002,11.000401,4.3478,5.5000005,,,3.7037,8.242901,11.586201,13.0762005,3.4978,9.230801,,4.8302,23.587902,,8.402801,13.750001,,5.9804,7.76,9.8063,13.384201
1966,9.066701,5.7034,8.732201,,9.002501,,16.6577,22.0157,,3.0639,,,,8.1351,12.345901,,,,,4.98,6.6669,6.4151006,,2.0,19.1462,26.900002,10.5284,9.0,,2.4286003,5.4,2.8000002,10.0,,10.0,9.975901,11.5522,15.188601,,22.206001,5.3846,24.771902,7.2564,6.6768003,7.8261003,14.4606,,11.8083,,,15.751801,2.2917001,19.761803,15.980201,24.371,,,7.2000003,9.6828,4.0,5.5388002,,15.2381,12.2657,5.0,8.5094,24.761002,8.406301,10.0,8.735001,24.4811,11.114,8.2925005,11.914901,17.3187,,7.0909004,,6.6667004,11.3878,,6.8182006,12.7405,4.4945,8.680401,14.000001,,,,10.538,,7.2007008,8.515201,,,6.3861003,2.525,,6.931,7.5000005,10.0,15.868402,6.3636003,,8.0,,11.500001,4.0,31.5597,24.4297,6.5952005,21.133501,,13.398401,8.0,6.4976006,10.0,,10.4687,13.120401,9.6877,9.0235,9.965501,5.8867006,6.6889,3.8889,16.8897,10.833301,9.135401,5.0,,10.0,,15.000001,10.5638,,6.0316005,8.823501,,8.571401,8.1667,,,,24.933302,2.5240002,9.1942005,4.4,7.7778,,,8.0,8.5,11.6667,13.1378,3.6848001,8.6667,,5.5702004,23.540901,,7.6932006,15.000001,,6.4705005,10.8443,10.0,10.9512005
1967,9.8,5.8935003,7.2367005,,11.013801,,16.2525,22.781902,,3.0702002,,,,8.5298,11.416201,,,,,5.0501003,6.7450004,6.4815,,2.0,17.1774,29.600002,9.2938,8.950001,,2.7759001,5.3846,3.6667001,10.1266,,10.0,9.891001,11.6380005,15.189501,,25.380802,5.0,23.7091,7.0372005,6.3501005,8.267401,15.948701,,11.934901,,,13.6527,2.5,20.19,14.1386,25.113,,,6.8182006,10.620201,4.0,5.5814004,,15.476201,8.9336,4.7222004,7.4403,27.054201,12.085701,10.0,13.042001,21.1791,11.8246,11.904201,13.529401,19.8642,,7.0909004,,6.6667004,9.7461,,6.8182006,11.749901,4.5316005,7.8080006,14.000001,,,,8.5417,,7.3214,9.801401,,,7.1211004,2.7753003,,6.0000005,8.013801,10.0,16.3393,6.5000005,,6.6667004,,11.500001,3.6667001,35.0287,20.099802,6.9767003,27.7231,,14.8325,8.0,5.7591004,10.0,,11.458901,13.8416,8.515201,8.8211,10.0,6.2956004,6.6234,5.5667005,17.588501,10.833301,10.92,7.5385003,,10.0,,14.444401,9.6132,,6.5000005,8.6667,,6.6176004,8.200001,,,,25.612902,2.6366003,11.342901,4.4,8.0,,,8.004701,9.282401,11.7333,12.475901,3.8329,8.6667,,4.7171,23.4712,,8.2235,18.0,,7.4506006,11.790501,9.9048,13.062501
1968,10.0,6.0837007,7.2483,,9.843101,,15.636801,26.666101,,3.0172,,,,9.3601,11.8956,,,,,6.8091006,7.0855002,6.4982004,,1.7500001,19.468,30.000002,9.055401,8.900001,,2.2638001,5.3704,5.0,10.4938,,10.0,9.8571005,16.396502,15.277501,,23.910002,5.0,25.585402,7.0000005,6.8023,10.392301,16.770302,,11.896901,,,14.080601,2.459,21.3276,15.447901,24.6542,,,7.2500005,11.143801,4.0,6.1387005,,15.348801,8.915,4.5,8.441,27.396002,11.777801,10.0,16.4824,22.857101,12.4119005,7.5906005,5.8491006,21.567001,,7.0909004,,6.6667004,10.266401,,6.8182006,10.0526,5.1317005,9.7753,14.000001,,,,8.0,,7.1179004,9.7972,,,7.2795005,3.9398003,,8.1935005,7.0229,10.0,17.288801,6.6667004,,8.0,,12.000001,4.0,34.370003,23.975801,5.7447004,29.4307,,17.555101,8.0,6.3287005,10.0,,12.3098,14.3266,8.7006,9.3564005,9.9873,6.0843,4.8627005,3.4,18.488,10.833301,10.080901,7.8295,,10.0,,12.500001,11.1996,,4.5,8.6667,,7.1429005,7.2000003,,,,26.3897,2.5,11.3957,4.6000004,8.0,,,8.0204,7.0588,12.195901,11.1328,3.6625001,8.75,,3.5049,23.930801,,8.428401,17.0,,8.6758,14.394701,6.5955005,12.500001
1969,10.198701,6.2963,5.5738,,11.538701,,17.672901,26.121502,,2.8421001,,,,9.496401,12.200601,,,,,6.8048,6.8152003,6.3793,,2.0,18.9667,30.1002,7.9053,10.157901,,2.7175002,5.3929,6.0000005,10.562901,,13.333301,9.6345005,9.8072,16.200901,,20.799501,5.4286003,20.6762,7.0938,5.2466,11.025701,16.341402,,12.7156,,,13.39,4.57,21.5372,13.633301,25.050001,,,7.0000005,12.2233,3.9706004,6.4662004,,16.4444,11.346001,5.2000003,9.0113,26.335302,11.810801,15.000001,7.5678,23.7022,12.9811,10.2553005,1.9797001,20.152,,7.1429005,,6.6667004,10.7033,,6.4,9.6136,5.979,9.072401,14.000001,,,,10.7143,,6.9127007,10.353901,,,8.537701,4.7604003,,5.3704,7.0255003,10.0,12.523901,6.4898,,8.125,,12.500001,4.0,32.3716,26.2511,5.7667003,30.109001,,15.9231,8.0,6.7137003,10.0,,11.330701,13.465701,9.524401,10.9606,9.9518,6.1135,6.0851,1.0,16.529902,10.833301,10.414801,7.8980002,,10.0,,11.000001,6.7460003,,7.5000005,8.6667,,9.0323,7.0000005,,,,17.6744,2.3333,10.6155,4.6000004,8.0,,,8.0219,7.0115004,12.346901,12.096401,3.2341003,8.75,,6.1748,24.746,,7.8360004,14.833301,,8.6758,9.545501,9.333301,15.172401
1970,9.536401,6.2963,5.4693003,,12.3156,,17.576801,24.597801,,3.0909,,,,10.1253,12.141001,,,,,6.8947005,7.3940005,6.4407005,,1.8182,19.490402,31.500002,9.5436,10.750001,,2.5491002,5.4615,7.1429005,10.857301,,13.333301,9.442401,6.9798,19.461802,,23.189302,5.3333,28.685001,7.1875005,6.2542005,11.473801,16.9727,,13.355301,,,18.9002,6.7733,22.218401,16.693901,27.636002,,,7.0000005,12.902901,4.4118,6.8082004,,14.666701,10.4176,5.3846,7.8883,25.840902,10.9211,15.384601,8.1909,28.385101,12.805201,9.409101,19.818201,22.745302,,7.1475005,,6.6667004,11.3051,,6.8,10.4446,6.6547003,9.601001,13.333301,,,,9.821401,,6.366,10.545701,,,6.8787007,4.3685,,7.1724005,6.8966002,10.0,15.997701,6.6294003,,9.4118,,12.053901,4.0,35.6492,25.573803,5.7719,29.897402,,14.213701,8.0,8.147201,10.0,,12.001901,14.3478,8.9982,10.5176,11.2727,6.0287004,6.7463,6.6667004,18.4106,10.5263,10.727,3.0770001,,10.0,,9.400001,6.8549004,,7.0000005,8.4211,,9.0769005,7.0000005,,,,27.874302,2.6973002,11.1171,4.8,8.0,,,8.0247,7.4444003,12.3548,9.8148,3.8197002,8.823501,,5.635,25.560902,,8.6588,16.6667,,5.0002003,13.413001,8.466701,15.172401
1971,11.133301,6.2963,6.3302007,,10.965301,,20.0498,25.797201,,3.1589,,,,9.960701,14.0572,,,,,7.1959004,7.5958004,6.5000005,,2.0833,18.836302,37.7,10.4449005,10.476201,,2.4375,5.1724,8.0769005,9.840301,,10.0,9.6428,5.7752004,20.4462,,20.287601,5.3333,24.5772,7.0588,6.215,12.7355,16.344301,,12.354001,,,16.126501,2.3077002,24.877302,13.412401,28.895502,,,7.0000005,13.071501,4.2462006,7.1694,,14.583301,11.572201,6.8333,9.9755,27.6585,10.256401,12.024,8.2065,25.562601,13.722401,9.8266,14.862101,21.0026,,7.1429005,,7.5000005,11.3153,10.6667,6.8,12.013901,6.6336,9.9446,13.333301,,,,9.821401,,6.1387005,11.021901,,,7.2109003,4.603,,5.6364,6.8333,10.0,16.3516,6.4201,,5.5882006,,10.400001,4.0,37.3125,22.8117,5.5896006,30.065,,13.9427,8.0,4.2403,10.0,,11.737401,13.715501,9.069,11.3168,10.0,7.2632008,7.5718,7.0000005,14.9101,10.5263,10.1855,4.3333,,10.0,13.500001,12.8571005,12.334201,,7.0000005,8.4211,,6.9900002,8.172501,,,,25.0056,2.4193,12.280001,4.84,8.0,,,8.75,8.4421,12.426001,11.7256,4.2398,7.5294003,,6.2674003,25.5955,,8.321501,15.000001,,9.0155,11.018201,8.6667,15.333301
1972,10.394701,6.2963,5.3203,,9.109301,,20.3411,23.195501,,3.1273003,,,,9.8746,12.896701,,,,,6.2848,7.8515005,6.4516006,,1.6667,18.734901,31.7,9.255701,10.217401,,2.6027,5.1724,6.9231005,9.200001,,10.0,10.01,14.5703,19.209803,,23.640902,5.3333,25.099901,7.1429005,5.3450003,12.5460005,16.8901,,13.152101,,,15.065301,2.3077002,23.8771,12.5106,27.785402,,,8.6667,13.174001,3.8691003,7.5477004,,15.000001,12.372001,7.2941003,9.809901,24.2547,10.507901,10.0,8.146701,25.737402,15.203701,9.4671,10.9512005,23.2385,,7.1875005,,6.6667004,10.616,6.0000005,7.2000003,12.7108,4.7553,8.838401,13.333301,,,,14.000001,,4.8232,11.0994005,,,8.837501,4.6562004,,3.6429,6.7742004,10.0,13.665501,6.5596004,,7.7333,,9.6429,4.3333,37.488304,22.055801,5.7597003,30.646002,,15.812,8.0,5.8108,10.0,,9.840301,13.409901,7.6336,11.044801,10.750001,6.3240004,6.7632003,10.565201,18.3492,10.5263,9.998301,5.8750005,,10.0,10.6667,10.625001,11.747901,,7.0000005,8.1,,4.6667004,15.685701,,,,25.3216,2.5640001,15.3178005,4.86,8.0,,,8.410001,10.5263,12.643701,11.6481,3.9741004,9.747001,,4.5597005,26.3167,,8.483701,17.5,,11.3253,18.2432,8.6667,15.000001
1973,11.000001,6.4815,6.0902004,,13.099401,,19.687601,25.139002,,3.2284,,,,9.537001,12.0906,,,,,6.3118,7.0868,6.5079,,2.0,19.3155,36.4,9.3505,13.500001,,2.7406,5.3333,6.8966002,10.451301,,10.0,11.614201,9.9316,18.6937,,22.172802,5.1250005,24.5011,7.0976005,5.5950003,12.373701,17.9213,,13.639901,,,14.607,2.6024,23.1415,12.747001,30.303402,,,8.6667,13.678801,3.6871002,5.4535003,,14.000001,10.9357,8.0,8.8208,27.916903,10.688901,10.0,9.276901,29.377201,15.862301,7.0071006,4.0755,23.202301,,7.0270004,,6.8333,11.294401,19.0,7.2000003,13.140901,5.0226,7.8711004,12.8571005,,,,14.000001,,4.6934,11.595901,,,8.9364,4.9712005,,10.3824005,6.9355,10.0,16.9227,6.7143,,11.1111,,8.4375,4.6667004,36.8292,22.9596,5.7393003,30.094501,,16.754902,8.0,9.582701,10.0,,13.496401,15.2883005,9.3946,10.3562,10.4167,6.3997006,6.9448,29.866701,19.387802,10.5263,9.7867,6.2000003,,10.0,8.75,9.200001,8.870501,,7.2652006,8.1154,,5.4829,17.333302,,,,20.958801,2.4012,13.3063,4.6000004,6.5406003,,,7.0111003,7.4737005,12.2222,12.217501,3.6592002,8.830001,,5.4358,25.603601,,9.988501,15.000001,,11.384401,13.975,8.571401,14.705901
1974,10.963901,6.4815,6.7097006,,17.158401,,19.0375,24.255302,,2.9905002,,,,9.119201,10.9805,,,,,6.3403,8.6968,6.5015,,2.0,21.769302,38.7,10.8501005,13.000001,,2.8291001,5.3559003,8.1857,11.000001,,10.0,10.7073,8.1148,20.7122,,25.354403,5.2500005,27.9587,7.0476003,6.6107006,12.8606,17.7408,,13.984301,,,11.0568,2.0468001,23.873302,15.4348,31.6681,,,7.0000005,13.892901,4.0122004,5.4486003,,14.000001,12.590501,6.8011003,8.945701,27.8146,10.660001,8.333301,13.418,26.783802,15.699401,10.5535,6.3830004,21.239801,,7.0000005,,7.1250005,10.908001,13.000001,6.8,10.834701,4.9385004,8.4182005,12.8571005,,,,13.750001,,4.8144,11.073001,,,8.4631,5.4615,,5.7000003,6.7742004,10.0,17.168802,6.8571005,,10.0,,7.9412007,5.0,42.9177,28.5016,5.7253003,26.258303,,16.3157,8.0,6.4688,10.0,,10.149301,14.1281,9.747001,10.171401,10.7026005,6.4287004,6.2738,8.1333,18.0777,10.5263,9.8841,6.6153,,10.0,9.5,12.5333,13.270401,,5.478,7.1643,,5.4286003,17.1231,,,,27.000002,2.2054,12.457801,4.7200003,6.5322003,,,6.3,8.0,12.2973,11.2908,2.8654,9.05,,4.9726005,27.434502,,10.6451,12.000001,,10.654901,14.400001,8.75,14.705901
1975,11.441201,5.9259,6.9677005,14.7368,12.182401,,19.719002,22.8461,,3.2606003,,,,9.379201,10.592901,,,,,6.5323,8.653901,6.5152006,,2.0,20.735,36.584602,10.316401,11.571401,,2.6667001,5.6034,5.1200004,12.000001,,12.000001,11.5227,12.755401,18.564802,,18.719501,5.2500005,22.2707,7.0159,8.205901,12.6426,17.489302,,13.8716,,,14.012401,2.2082,23.068802,13.064901,23.4657,,,,15.323601,4.1455,5.4403,,14.000001,12.5381,7.2941003,10.598201,25.0862,10.0,8.4518,9.0071,32.929302,16.2315,7.3328004,10.910701,23.393402,,7.3053,,7.5000005,12.76,10.0,6.6667004,9.7222,4.6871004,7.0224004,12.973001,,,,10.0067005,,5.7754,12.1301,,,8.497701,4.3416004,,9.4651,6.6667004,10.0,15.204501,7.0000005,,10.0,,7.3684,4.1085,33.098003,19.020802,5.721,25.4712,,14.2411,8.0,4.0265,10.0,,11.211201,13.6232,7.6281004,10.455201,10.8863,6.5395,6.2079,1.2593001,17.9897,12.000001,9.4831,7.2279,,10.0,10.0,17.493301,8.904901,,6.6037006,2.6264,,6.0000005,18.150002,,,,19.9146,2.2180002,13.223001,4.0,9.944501,,,5.7273,10.0,13.9888,10.9736,3.1412,6.2606006,,4.6892004,28.502302,,10.7513,11.1111,,10.880901,14.833301,8.695701,15.1815
1976,17.878801,6.4815,7.4194,16.800001,14.1586,,20.842302,23.816301,,3.3636003,,,,9.4132,12.065801,27.000002,,,,6.3489003,9.504701,6.5672007,,2.0,21.973803,31.400002,7.8743,11.3,,2.6667001,5.5593,5.1200004,12.126401,,20.833302,11.655401,14.201401,22.0497,,16.3866,4.9412003,17.468801,7.1245003,7.0937004,12.104901,16.5491,,14.4798,,,17.9867,2.1429,15.3786,14.263201,21.5721,,,,15.661501,4.1077003,5.4223,,14.000001,12.0943,7.7000003,11.738401,24.9002,8.444401,9.6743,8.6475,32.411903,16.8372,7.4931006,14.7191,27.191301,,7.2766004,,9.0,11.6826,14.000001,7.1429005,9.677401,5.7481003,8.9547,13.0526,,,,10.358901,,6.1372004,12.312201,,,9.374901,4.8580003,,7.6596003,7.0000005,10.0,15.157401,7.1429005,,5.5556,,7.1429005,4.1153,30.195902,20.0817,5.8842006,26.152802,,17.552,8.0,3.3084002,10.0,,12.008201,14.312301,9.189,11.2213,12.670501,6.5939,6.0755005,4.0,20.255802,12.3810005,7.9761004,8.0275,,10.0,10.125001,18.533302,15.9136,,6.6036005,5.01,,6.0526004,18.300001,,,,23.2294,3.0943003,13.380901,4.4,2.5731003,,,5.3043,10.500001,15.3226,11.0762005,3.3308003,7.1520004,,6.4123,29.079401,,10.5596,10.256201,,11.4167,14.250001,9.0,15.0488
1977,10.5263,7.2727003,7.5484004,20.5405,15.887201,,21.507101,22.463303,,3.4545002,,,,9.503301,11.3183,27.333302,,,,5.2625003,9.6866,6.6176004,,2.0,22.5227,29.7,10.8128,13.2375,,2.6667001,5.4262004,5.0,12.3738,,17.0,10.567901,12.6043005,23.367102,,21.9626,5.0588,25.155901,7.2114,6.3036003,11.583301,15.756301,,14.606601,,,15.872801,2.3333,26.141,13.684201,28.538801,,,,14.635701,4.2123,5.4024,,14.545501,13.479001,11.2832,11.5731,28.6602,11.0391,10.9356,9.552501,33.178303,16.609901,8.0116005,11.031501,26.796803,,7.2511005,,9.0769005,11.1501,16.400002,7.3333,9.7826,5.9725003,9.3576,13.333301,,,,12.000001,,6.7784004,11.674901,,,7.6555004,4.7976003,,7.8246007,6.6667004,10.0,15.188001,7.0833,,5.1515,14.35,7.1111007,4.1241,34.3003,24.9866,5.1643,27.414303,25.333302,16.039902,8.0,3.8188002,10.0,,11.837001,14.656701,9.6317005,12.345301,11.122601,6.545,6.2053003,4.4,16.8871,12.444401,9.5321,8.3197,,10.0,9.25,18.1,13.744201,,6.6123,,,6.0256004,8.6146,,,,26.944801,2.0,12.7825,4.8,10.485801,,,5.2174,7.4692006,15.5556,11.361001,3.5204,7.9228,,5.1085005,29.129902,,11.4208,9.241,,11.687201,15.14,8.571401,14.633301
