Date,ABW,AFG,AGO,AIA,ALB,ARE,ARG,ARM,ATG,AZE,BDI,BEN,BFA,BGD,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,DJI,DMA,DOM,DZA,ECU,EGY,ERI,ETH,FJI,FSM,GAB,GEO,GHA,GIN,GMB,GNB,GNQ,GRD,GTM,GUY,HKG,HND,HRV,HTI,IDN,IND,IRN,IRQ,ISR,JAM,JOR,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NPL,NRU,OMN,OWID_KOS,PAK,PAN,PER,PHL,PLW,PNG,PRK,PRY,PSE,PYF,QAT,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVN,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1960,,3.129,,,,,,,,,3.881,0.009,0.06,,,-0.027,,,6.5,,,,,,,10.088,0.027,0.427,,0.023,,,0.015,,-0.179,,,0.837,,,,,,0.027,11.02,0.328,,,0.956,1.0,,0.015,,0.243,,,,,,1.61,4.853,0.439,1.567,,,,1.978,0.663,0.074,3.498,,,,2.759,,4.277,,,6.277,,,,5.305,11.309,,0.789,,,2.907,,0.407,,0.061,,,,,6.543,,,,,,0.325,2.6,0.724,,,0.009,0.782,3.817,1.697,,,,6.772,2.79,-0.402,0.697,,0.004,,3.563,,,,6.328,0.567,2.435,,-0.032,,,,11.928,,,,11.165,,28.3,9.167,2.226,,0.01,0.064,1.59,,,,,,,,,0.394,4.882,,1.583,,,0.011,,,,,,,0.144,
1961,,6.191,,,,,,,,,3.577,0.63,0.382,,,,,,9.4,,,,,,,14.757,0.341,2.606,,0.552,,,0.128,,1.16,,,1.462,,,,,,0.024,14.735,0.682,,,1.251,0.894,,0.352,,0.23,,,,,,1.454,5.422,0.336,2.068,,,,1.58,3.009,0.032,2.954,1.384,,,8.212,,3.914,,,9.365,,,,14.845,8.796,,0.798,,,5.452,,0.22,,0.615,,,,,3.54,,,,0.635,,2.895,4.813,1.028,,,0.409,0.684,4.009,2.017,,,,6.145,1.894,-0.616,0.234,,0.004,,3.22,,,,5.885,-0.012,1.176,,0.001,,,,12.152,,,,12.61,,30.919,8.333,1.78,,0.985,1.655,0.969,,,,,0.015,10.846,,,1.394,4.825,,0.138,,,0.117,,,,,,,0.144,0.001
1962,,3.034,,,,,0.22,,,,5.246,1.589,1.142,,,,,,17.25,,,,,,,13.1,0.919,2.435,,1.431,,,1.883,,0.993,,,1.957,,,,,,2.751,18.049,0.898,,,1.546,9.169,,1.544,,0.408,,,,,,0.882,4.782,0.111,1.535,,,,1.615,1.236,0.096,3.66,1.694,,,5.813,,3.358,,,8.297,-0.193,,,41.841,5.499,,0.909,,,3.334,,0.698,,0.251,,,,,4.505,,,,1.366,,2.178,6.414,1.116,,,0.822,0.636,2.903,1.575,,,,8.822,1.978,0.234,0.618,,,,0.888,,,,8.848,-0.596,0.739,,0.121,,,,11.709,,,,10.667,,17.41,3.769,2.337,,1.559,2.422,1.148,,,,,0.099,8.031,,,1.524,6.465,,0.202,,,0.977,,,,,,,0.944,
1963,,4.781,,,,,0.149,,,,2.678,1.684,1.043,,,0.01,,,11.941,,,,,,,12.395,1.535,2.404,,1.182,,,3.343,,1.482,,,1.612,,,,,,5.149,10.199,0.898,,,1.368,3.602,,2.243,,1.182,,,,,,0.848,3.844,0.276,1.812,,,,2.028,0.572,0.226,3.28,0.427,,,6.184,,3.258,,,6.514,-0.072,,,17.305,3.134,,0.882,,,3.515,,1.129,,0.019,,,,,7.012,,,,0.964,,2.296,8.755,0.519,,,0.772,0.406,2.73,3.264,,,,10.517,2.857,0.275,0.4,,0.004,,2.292,,,,5.25,-0.142,1.126,,0.066,,,,14.097,,,,18.635,,14.109,4.571,0.234,,1.511,3.228,1.028,,,,,1.699,8.241,,,0.907,3.826,,0.566,,,0.488,,,,,,,0.829,1.282
1964,,5.658,,,,,-0.02,,,,3.136,6.717,3.72,,,0.026,,,4.306,,,,,,,18.872,11.824,1.902,,4.349,,,9.758,,0.708,,,2.169,,,,,,2.335,7.83,0.854,,,0.808,2.529,,7.543,,1.173,,,,,,0.949,2.848,0.012,2.38,,,,2.165,0.082,0.476,2.434,0.456,,,5.852,,1.623,,,4.911,-0.058,,,6.784,1.743,,0.679,,,3.57,,6.133,,-0.117,,,,,5.184,,,,5.393,,0.986,17.505,0.661,,,2.562,0.826,2.804,3.929,,,,9.831,1.55,0.483,1.234,,,,2.151,,,,5.569,-0.021,1.447,,0.049,,2.69,,9.498,,,,14.383,,23.182,6.267,0.365,,4.254,6.277,0.821,,,,,1.69,7.03,,,1.225,3.838,,0.114,,,-0.716,,,,,,,2.833,0.594
1965,,5.251,,,,,-0.197,,,,3.096,6.187,4.122,,,0.026,,,5.325,,,,,,,20.196,10.52,1.765,,4.325,,,8.128,,0.699,,,2.603,,,,,,9.026,4.787,0.886,2.501,,0.972,3.092,,6.32,,2.268,,,,,,1.053,3.513,0.175,2.353,,,,2.169,0.357,0.362,2.896,1.039,11.34,,7.421,,1.12,,,6.967,-0.077,,,14.471,0.522,,0.888,,,3.652,,6.305,,0.231,,,,,4.649,,,,3.647,,0.956,15.206,0.774,,,2.255,1.332,1.697,2.433,,2.921,,8.45,4.302,1.117,1.425,,24.211,,2.121,,,,5.483,0.016,2.034,,0.227,,4.853,1.668,11.75,,,,13.612,,25.367,9.688,0.23,,4.424,5.158,1.119,,,,,2.204,9.402,,,1.017,2.323,,0.16,,,0.182,,,,,,,1.067,0.352
1966,,3.558,,,,,-0.031,,,,5.724,4.924,3.903,,,0.017,,,5.864,,,1.243,1.074,,,31.368,9.911,1.769,,3.631,,,11.604,,1.551,,,2.016,,,,,,5.421,4.35,1.057,1.856,,1.095,2.796,,5.991,,2.936,,8.159,,,,0.753,4.148,0.099,1.822,,,,2.761,0.172,0.128,2.414,0.999,11.481,,4.904,,1.272,,,5.747,-0.075,,,14.713,0.103,,1.706,17.417,,3.464,,5.3,,0.154,,,,,5.727,,,,8.127,,1.93,12.583,0.988,,10.488,3.148,1.118,2.197,1.698,,0.912,,5.755,2.385,0.74,0.635,,22.003,,2.011,,6.222,,9.528,0.012,2.539,,0.209,,2.711,2.273,19.545,,,,2.373,,15.574,5.813,1.564,,4.421,3.99,0.84,,,,,1.38,8.17,,,0.793,2.597,,0.262,,,0.353,,,,,,,2.472,0.036
1967,,2.404,,,,,0.037,,,,6.234,5.317,4.37,,,0.201,,,12.426,,,0.611,0.355,,,29.452,12.62,1.357,,3.249,4.866,,8.0,,1.705,,,1.889,,,,,,5.769,3.272,1.076,0.591,,1.127,1.803,,6.098,,2.645,,6.404,,,,1.055,4.913,0.099,1.523,,,4.139,2.776,0.44,0.126,1.521,0.91,8.307,,3.075,,1.451,,,5.178,-0.07,,,9.297,0.085,,2.514,18.622,,2.067,,4.565,,0.137,,,6.255,,3.052,,,,4.413,,2.186,11.598,0.733,,6.45,3.341,1.424,1.819,1.685,,0.969,,6.541,1.838,0.742,1.123,,22.332,,2.517,,6.851,,8.394,0.016,0.925,,0.582,,2.14,1.504,5.317,,,,2.222,,14.485,13.176,0.38,,4.387,4.358,1.067,,,,,0.792,8.534,1.269,,0.884,2.276,,0.354,,,0.296,,,,,,,4.709,0.03
1968,,2.086,,,,,0.01,,,,7.629,4.043,4.969,,,0.013,,,12.837,,,0.664,0.518,,,23.914,9.197,1.087,,3.605,5.408,,8.617,,2.005,,,1.577,,,,,,4.08,3.155,0.883,0.435,,1.621,3.906,,4.978,,3.849,,14.244,,,,1.053,7.254,0.049,2.599,,,4.672,1.753,0.101,0.062,1.164,1.567,7.939,,4.62,,0.961,,,3.81,0.0,,,5.536,0.216,,2.937,16.897,,2.875,,4.711,,0.094,,,8.155,,2.77,,,,6.973,,4.68,19.886,0.78,,7.319,4.789,1.365,1.75,1.412,,0.035,,4.898,1.304,0.609,0.764,,22.915,,2.071,,7.008,,9.349,0.014,1.933,3.799,0.317,,3.232,1.08,11.154,,,,9.867,,11.271,15.375,0.308,,4.774,5.631,1.069,,,,,0.666,6.168,1.003,,0.829,2.176,,1.565,,,0.197,,,,,,,1.979,0.155
1969,,1.895,,,,,0.057,,,,8.388,4.006,5.031,,,0.015,,,14.87,,,0.378,0.707,,,16.096,10.594,0.918,,3.765,3.92,,6.604,,1.683,,,1.652,,,,,,2.85,3.083,0.57,0.153,,1.404,5.058,,6.342,,3.724,,8.156,,,,0.805,7.904,0.041,1.911,,,3.993,1.558,0.182,0.112,0.9,1.174,6.759,,3.897,,1.3,,,4.295,0.014,,,5.037,0.193,,2.552,15.747,,2.151,,4.336,,0.068,,,6.89,,5.005,,,,4.221,,2.432,10.659,0.863,,6.274,5.358,1.325,2.323,1.374,,0.022,,3.809,1.517,0.541,0.849,,21.855,,2.584,,7.609,,9.339,0.036,0.485,4.473,0.906,,2.138,1.221,10.771,,,,9.302,,10.641,8.063,0.506,,5.011,4.684,1.019,,,,,0.925,9.378,0.889,,0.744,2.389,,0.981,,,0.121,,,,,,,1.067,0.041
1970,,1.548,-0.001,,,0.522,-0.009,,,,7.519,4.453,4.801,,0.198,0.016,,,11.442,0.004,2.928,0.394,1.074,0.004,0.429,14.059,7.69,0.634,,3.703,5.828,1.882,5.743,,1.897,20.763,,1.246,0.033,,0.938,18.2,,2.38,2.577,0.674,2.143,,1.307,3.314,,7.739,,2.722,0.346,2.519,,,,0.778,6.874,0.037,1.991,,0.888,5.152,1.329,0.199,0.194,0.881,0.781,12.17,,3.627,,2.608,9.909,,2.996,0.015,58.185,0.971,3.631,0.108,,2.294,11.057,0.122,2.169,,4.324,1.412,0.086,,,6.24,7.244,4.083,,,0.002,2.52,,2.671,6.496,0.693,,6.37,4.867,0.374,2.197,2.693,,0.033,,4.236,1.309,0.763,0.619,,23.588,,2.267,,7.783,0.021,9.882,0.033,0.373,3.316,1.478,26.516,1.556,1.255,8.551,,,,12.193,,6.186,22.333,1.055,,4.735,4.788,1.043,,,,7.941,0.711,8.178,0.989,,1.79,2.645,,0.544,,,0.045,,15.981,8.5,1.957,,,0.745,0.034
1971,,2.378,0.0,,,0.399,0.011,,,,8.885,8.729,5.973,0.277,0.907,0.046,,,8.895,,2.846,0.309,1.881,0.02,0.269,13.473,7.814,0.255,,3.367,4.307,2.02,5.451,,1.362,21.0,,1.336,0.037,,0.819,14.392,,1.466,2.403,0.8,1.625,,1.46,4.508,,6.626,,2.385,0.289,6.537,0.054,,,0.615,6.223,0.081,1.661,,0.717,6.378,1.497,0.057,0.341,1.049,1.237,9.28,,3.811,,5.589,12.095,,3.252,0.016,54.855,0.262,3.4,0.072,,2.552,16.908,0.117,3.062,,3.93,4.474,0.044,,,7.574,5.628,6.957,,,0.003,4.537,,3.652,4.36,1.023,,9.234,5.909,0.321,1.389,2.586,,0.806,,4.018,1.434,0.599,0.862,,21.165,,2.466,,6.623,0.028,11.269,0.028,0.392,4.024,1.368,20.794,2.533,0.889,9.236,,,,12.049,,1.661,35.182,0.865,,6.022,4.815,0.851,,,,3.55,0.481,6.533,1.266,,2.039,2.277,,0.332,,,0.065,,15.624,12.308,1.893,,,1.307,0.033
1972,,3.383,0.002,,,0.24,0.005,,,,10.962,4.912,5.948,3.622,0.434,0.218,,,6.365,0.003,3.746,0.188,1.697,0.006,0.345,19.152,11.25,0.324,,2.699,4.565,2.074,5.718,31.0,1.212,20.837,,1.304,0.045,,0.822,15.0,,1.211,1.636,0.61,1.516,,1.349,2.765,,6.672,,2.803,0.124,8.414,,,,0.923,4.531,0.051,2.107,,0.828,4.664,0.864,0.053,0.367,0.953,0.92,13.661,,3.466,,9.444,16.84,,3.357,0.018,46.937,0.52,3.164,0.117,,2.364,12.815,0.036,2.014,,4.085,2.909,0.048,,,7.78,4.715,6.708,,,0.003,3.56,,3.31,4.379,1.02,0.004,10.84,5.827,0.205,0.961,2.823,,3.388,,3.284,0.857,0.52,1.823,,23.799,,1.968,,8.433,0.045,12.182,0.023,2.585,3.014,1.098,44.857,2.232,1.27,7.112,,,,14.313,,6.598,28.129,1.844,,5.228,4.635,0.658,,,,4.875,0.291,5.243,1.133,,1.762,2.77,,1.034,,,0.062,,18.072,12.571,3.585,,,1.206,0.034
1973,,3.146,0.003,,,0.02,0.033,,0.013,,9.074,5.254,8.43,5.198,1.525,0.076,,,6.311,,1.885,0.092,1.373,0.022,0.839,14.783,9.552,0.238,,2.633,3.726,1.856,5.1,28.333,1.279,26.697,,1.091,0.053,,0.745,17.55,0.281,0.833,1.449,0.78,8.892,,1.638,3.469,,5.893,,1.365,0.237,8.703,0.004,1.247,0.128,0.728,2.771,0.011,1.588,,0.733,3.809,0.915,-0.014,0.177,1.609,0.822,21.305,,3.946,,23.961,15.308,0.028,2.03,0.009,45.282,0.309,2.387,0.152,0.153,2.11,8.494,0.035,1.522,,3.186,2.148,0.024,,,12.586,7.47,9.804,,,0.002,6.393,0.25,3.371,3.678,0.598,,13.771,7.482,0.164,1.96,3.327,,7.414,,4.478,1.314,0.942,1.96,,16.021,,1.498,,11.682,0.044,13.479,0.021,1.217,4.303,0.698,30.605,2.492,0.864,10.012,,,,10.97,,5.443,21.595,13.564,,6.955,4.602,0.563,,,,3.829,0.184,5.134,0.321,,2.416,1.312,,0.431,,0.4,0.052,,14.499,11.273,3.477,,,1.999,0.028
1974,,2.221,0.007,,,0.005,0.034,,3.571,,11.116,5.937,12.86,4.243,2.947,0.079,,,6.761,0.006,2.542,0.142,0.876,0.011,0.836,11.796,13.111,0.095,,2.544,3.299,1.972,6.647,31.944,0.714,36.946,,0.981,0.136,3.429,2.2,20.906,8.732,0.563,0.977,0.437,15.107,,2.564,2.671,,1.736,,1.263,0.378,10.726,3.914,16.726,4.625,0.712,2.947,0.011,1.91,,0.999,2.644,1.241,0.02,0.028,0.706,0.873,25.401,,4.063,,48.99,8.373,7.66,1.285,0.003,32.033,2.878,2.678,0.076,9.325,2.383,8.628,0.008,1.504,,3.297,1.794,0.031,,,21.702,5.226,5.449,,,0.012,16.115,20.769,3.716,4.066,0.752,,9.741,13.217,0.096,1.54,2.354,,12.519,,5.308,0.824,0.633,0.984,,19.326,,1.657,,6.786,0.022,15.196,0.008,5.336,6.743,0.41,21.088,1.623,0.588,17.223,,,,13.816,,6.226,19.837,15.365,16.067,11.963,4.876,0.517,,,,6.383,0.187,5.094,0.142,,3.259,0.842,,0.127,,11.091,0.02,12.923,19.915,19.671,5.454,,,2.095,0.043
1975,,2.77,0.122,23.857,,0.028,0.023,,2.395,,11.522,8.004,9.537,5.428,1.918,0.08,,,8.217,0.004,1.959,0.124,0.902,0.01,3.088,14.349,14.523,1.541,,2.656,4.314,2.659,7.579,33.059,0.552,18.748,6.603,1.065,0.154,2.741,3.808,22.194,18.302,0.563,1.53,0.506,22.071,,2.894,2.898,,3.012,,4.455,0.434,6.991,7.259,2.076,5.5,0.84,2.1,-0.011,3.437,,2.674,2.297,1.635,0.003,0.593,3.028,0.703,34.97,,3.943,,13.911,9.433,3.265,1.145,0.003,16.752,0.317,3.136,0.011,9.495,4.198,11.347,0.004,3.025,,3.622,15.476,0.025,,,17.557,6.385,5.157,,,0.327,12.36,32.0,4.204,5.565,1.092,,7.92,13.212,0.084,1.31,2.533,0.021,7.781,,6.566,1.008,0.493,1.053,,23.713,,1.101,,10.397,0.032,15.882,0.006,6.156,5.061,0.206,45.51,2.497,0.915,23.23,,,1.333,11.605,,4.918,15.583,12.498,19.118,7.653,4.81,0.568,,,,7.535,0.186,5.11,0.128,0.625,5.121,2.2,,0.141,,18.121,0.014,17.286,10.115,14.182,11.866,,,3.792,0.102
1976,,2.689,0.467,18.333,,0.005,0.026,,4.38,,10.023,7.271,8.26,4.867,8.41,0.104,,,13.067,0.005,2.03,0.074,1.107,0.006,4.667,12.737,8.598,0.104,,2.386,5.274,2.131,10.131,41.75,0.453,22.354,19.488,0.576,0.338,3.043,9.713,15.205,10.31,0.615,0.835,0.507,18.752,,2.827,3.391,,1.2,,2.242,0.167,9.602,8.719,0.404,5.44,1.159,5.123,0.021,2.314,,2.723,1.776,1.703,-0.008,0.091,4.209,0.68,33.423,,4.638,,0.117,9.707,6.095,0.726,0.001,12.094,1.982,3.949,0.037,7.49,5.246,9.972,,2.648,,2.827,15.05,0.024,,,9.349,5.273,5.42,,1.027,1.236,28.797,25.923,2.369,5.239,0.588,,5.826,11.848,0.043,1.1,2.95,,7.268,,7.741,1.281,0.596,0.956,,16.178,,1.319,,10.608,0.042,12.423,0.003,4.399,4.203,0.175,36.472,2.241,0.742,12.503,,,21.182,21.998,,4.213,15.745,10.776,19.789,6.966,4.914,0.99,,,,10.3,0.159,5.048,0.246,36.75,4.121,0.858,,0.188,,13.394,-0.048,17.267,5.231,38.663,11.146,,,2.471,0.163
1977,,2.741,1.155,15.857,,0.144,0.027,,6.987,,8.872,6.509,9.817,8.039,1.966,0.075,,,8.509,0.013,2.156,0.046,0.795,0.004,3.766,10.454,8.854,0.079,,1.712,6.828,2.26,6.611,38.947,0.21,9.672,22.661,0.559,0.322,1.795,12.77,23.231,10.761,0.333,0.652,0.299,18.884,,2.037,3.237,,1.022,,2.837,0.355,15.179,13.328,0.808,4.771,0.774,2.745,0.013,2.022,,3.013,1.132,0.816,0.049,0.303,4.533,0.785,20.792,,3.708,,0.054,16.676,4.744,0.619,0.003,13.066,3.674,4.258,0.031,4.19,4.969,10.214,,5.538,,2.569,20.278,0.023,,,10.495,4.611,10.555,,0.897,1.397,23.533,22.571,2.687,5.592,0.558,,9.315,7.36,0.03,0.807,5.123,0.021,14.069,,3.97,0.871,0.797,0.809,,15.642,,1.536,,10.496,0.027,12.781,0.009,4.099,4.15,0.188,27.417,3.784,0.888,47.179,,,5.846,14.958,,7.849,17.852,13.838,16.429,8.672,5.89,0.664,,,,14.4,0.071,5.032,0.159,34.0,4.386,0.571,,0.342,,8.061,-0.023,12.812,5.564,18.896,16.951,,,4.494,0.172
1978,,2.21,1.024,29.25,,0.007,0.026,,4.091,,12.401,6.495,10.716,7.242,3.013,0.111,,,14.015,0.023,3.152,0.07,1.339,0.004,4.216,11.656,8.325,0.024,,1.706,4.212,1.9,9.74,31.591,0.251,8.245,26.561,1.045,0.274,3.273,4.883,48.111,12.474,0.424,0.758,0.268,19.068,,2.316,3.194,,2.008,,3.07,0.796,19.988,15.901,1.283,2.977,0.53,5.422,0.013,1.668,,3.358,1.265,0.825,0.316,0.231,5.315,4.546,17.952,,4.801,,0.045,20.38,4.271,0.315,0.005,26.351,5.654,5.652,0.025,2.992,11.912,11.128,,3.29,,3.39,38.571,0.017,,,12.74,4.695,23.179,,0.78,1.74,30.86,8.625,4.288,5.757,0.51,,13.595,8.896,0.026,1.025,4.362,,2.308,,3.583,0.628,1.42,0.966,,15.152,0.488,1.18,,9.011,0.004,13.789,0.008,4.675,6.632,0.088,38.382,4.254,1.095,46.638,,,6.862,9.354,,11.937,20.463,10.194,11.583,10.996,8.906,1.073,,,,15.8,0.092,5.397,0.268,40.714,4.558,1.637,,0.108,,7.279,-0.038,6.5,6.498,18.97,13.805,,,6.988,0.232
1979,,2.627,0.932,22.5,,0.021,0.039,,3.037,,12.22,7.128,11.28,7.223,4.07,0.088,,,14.095,0.019,2.857,0.051,0.801,0.003,6.049,12.123,11.994,-0.141,0.009,1.842,4.964,2.561,8.151,31.0,0.143,9.023,23.035,0.779,0.249,0.627,2.303,8.95,16.455,0.829,0.351,0.422,9.276,,2.895,3.053,,1.372,,4.199,0.68,16.819,17.167,5.058,2.812,0.599,5.898,0.053,2.063,,3.051,1.462,0.89,0.006,0.063,5.46,5.066,44.174,,5.796,,19.147,18.49,3.052,0.2,0.004,18.856,2.595,8.634,0.012,1.401,9.222,12.839,0.002,3.44,,3.972,18.471,0.052,,,11.854,4.976,36.168,,0.69,2.288,18.477,7.316,2.646,8.022,0.615,,14.198,8.408,0.014,4.221,6.826,0.038,6.804,,3.61,0.53,1.621,0.86,,12.567,,0.719,,11.845,0.003,13.298,0.009,8.32,7.587,0.06,25.082,4.9,1.086,46.456,,,4.275,12.787,,11.351,21.297,21.299,8.923,8.457,8.842,1.435,,,,37.8,0.077,3.032,0.658,51.25,5.983,2.221,,0.097,,8.143,0.022,7.478,5.411,38.32,20.391,,,9.022,0.267
1980,,0.769,0.777,20.909,,0.009,0.054,,4.198,,12.576,6.293,10.907,6.77,7.211,0.118,,,7.398,0.029,3.298,0.047,0.711,0.0,7.825,10.382,13.765,-0.027,0.034,2.167,4.759,2.815,5.903,37.821,0.127,20.305,44.489,0.535,0.232,1.057,2.423,27.152,24.123,1.104,0.507,0.191,6.844,,3.008,3.027,,1.441,,4.311,0.988,22.211,20.603,18.837,3.532,0.536,4.75,0.038,2.28,,6.936,1.352,1.17,0.03,0.023,3.695,4.491,39.942,,5.605,,46.322,57.758,9.269,0.214,0.031,13.562,5.283,10.067,0.03,5.394,9.372,13.404,0.427,5.455,,4.45,56.514,0.034,,,15.311,1.182,28.595,,0.42,2.664,17.176,12.929,2.944,7.839,0.57,,16.749,6.681,0.014,7.293,7.7,0.054,3.831,,4.964,0.577,1.172,0.801,,12.798,,0.659,,12.08,0.006,12.26,0.008,7.556,5.921,0.123,24.44,8.464,2.411,79.728,,,4.442,10.514,,7.653,14.238,15.116,11.3,3.371,5.78,1.296,,,,18.378,0.065,2.846,1.407,61.375,5.929,9.163,,0.088,,11.975,0.033,16.464,11.474,42.288,16.038,,,8.829,2.809
1981,,0.646,0.953,20.231,,0.001,0.045,,6.15,,12.49,6.307,12.165,5.12,5.73,0.109,,,5.83,0.02,2.312,0.102,0.932,0.003,8.935,8.683,14.499,0.002,0.243,1.556,3.333,2.917,4.276,34.103,0.149,23.538,34.779,1.323,0.138,0.589,2.082,22.168,17.783,0.932,0.395,0.162,6.339,,3.264,3.278,,1.222,,3.423,1.199,31.34,15.99,34.1,5.459,0.453,10.228,0.031,2.263,,6.557,1.169,1.019,0.005,0.72,2.996,4.848,27.935,,6.749,,17.681,46.364,4.725,0.459,0.029,9.898,8.443,11.412,0.013,6.273,8.323,14.241,0.001,6.067,,4.988,32.487,0.044,,,15.17,3.627,23.659,,0.104,2.38,21.15,10.394,5.241,7.587,0.591,,15.434,9.104,0.018,3.603,7.171,0.048,3.589,,2.882,0.517,1.035,0.931,,13.25,,0.754,,11.877,0.009,10.826,0.014,6.098,9.904,0.164,14.621,5.483,3.544,54.782,,,6.977,10.717,,5.073,10.453,12.068,20.794,6.822,4.697,1.18,,,,26.152,-0.046,2.989,1.042,59.444,5.31,10.238,,0.088,,9.05,0.026,12.323,14.582,31.32,17.545,,,5.927,2.435
1982,,0.283,0.93,13.0,,0.01,0.036,,3.037,,12.465,6.315,12.052,6.919,4.293,0.091,,,6.797,0.006,2.113,0.081,0.726,0.005,10.514,9.688,12.073,-0.005,0.255,1.942,3.415,2.594,4.547,34.828,0.163,20.578,37.787,2.892,0.171,0.285,1.42,19.222,18.622,1.277,0.312,0.211,5.632,,2.526,3.025,,1.871,,3.447,1.052,21.957,14.983,39.886,5.125,0.509,5.826,0.025,3.016,,7.783,1.026,0.818,0.0,0.009,3.077,5.215,18.936,,7.845,,5.317,40.811,3.678,0.044,0.021,8.379,5.089,11.572,0.331,4.744,8.249,13.288,0.063,4.984,,5.12,12.524,0.087,,,15.979,1.825,19.159,,0.095,3.301,17.656,10.892,4.557,7.002,0.527,,17.531,13.215,0.016,3.213,7.36,0.032,1.845,,2.86,0.521,1.092,0.788,,13.61,,1.319,,14.015,0.011,10.596,0.029,8.736,7.302,0.135,14.261,6.432,5.697,61.463,,,12.3,10.983,,4.106,11.83,7.395,27.158,7.71,6.834,1.065,,,,26.462,0.06,2.645,1.03,77.875,4.884,6.106,,0.07,,6.829,0.028,10.27,11.524,27.559,16.835,,,8.682,3.013
1983,,0.397,1.128,13.765,,0.01,0.033,,1.832,,12.813,7.849,11.392,5.481,6.816,0.056,,,8.053,0.005,3.029,0.067,1.319,0.009,11.045,9.102,14.253,0.046,0.289,2.526,1.973,2.732,5.582,30.393,0.117,19.702,42.568,7.979,0.169,0.136,0.86,21.523,10.122,0.737,0.198,0.298,5.008,,3.857,2.888,,2.05,,2.696,0.477,20.19,15.007,27.122,5.843,0.638,3.621,0.03,3.399,,7.272,0.95,0.842,0.027,0.018,4.331,4.94,17.2,,6.842,,5.332,43.211,3.216,0.009,0.02,6.081,3.232,12.175,0.017,3.704,8.567,13.808,0.049,2.847,,3.966,19.86,0.102,,,17.222,3.486,20.644,,0.074,3.516,16.279,5.564,3.773,6.488,0.617,0.0,22.075,9.851,0.022,2.83,7.106,0.052,0.919,,2.345,0.547,1.875,1.126,,13.383,,0.781,,13.847,0.015,10.022,0.03,11.896,9.415,0.084,14.792,6.722,7.408,46.462,,,15.649,0.437,,4.573,10.152,5.273,15.674,10.572,10.696,1.053,,,,27.677,0.078,2.508,0.59,52.625,4.19,6.228,,0.115,,4.383,0.027,7.537,4.618,26.36,19.684,,,7.003,3.198
