Date,ABW,AFG,AGO,AIA,ALB,ARE,ARG,ARM,ATG,AZE,BDI,BEN,BFA,BGD,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,DJI,DMA,DOM,DZA,ECU,EGY,ERI,ETH,FJI,FSM,GAB,GEO,GHA,GIN,GMB,GNB,GNQ,GRD,GTM,GUY,HKG,HND,HRV,HTI,IDN,IND,IRN,IRQ,ISR,JAM,JOR,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NPL,NRU,OMN,OWID_KOS,PAK,PAN,PER,PHL,PLW,PNG,PRK,PRY,PSE,PYF,QAT,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVN,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1984,,0.2,1.357,8.55,,0.008,0.031,,1.113,,14.134,7.341,12.576,5.701,5.567,0.535,,,6.715,0.006,2.273,0.093,0.421,0.017,13.262,9.044,20.97,0.065,0.305,1.937,2.593,3.616,4.67,27.379,0.136,23.196,47.344,5.94,0.152,0.112,0.737,33.805,15.159,1.477,0.233,0.432,5.541,,4.341,2.655,,2.256,,4.884,0.709,29.073,15.321,31.851,19.482,0.524,2.69,0.042,4.548,,6.442,0.821,0.79,0.005,-0.004,4.433,7.848,14.293,,6.821,,2.74,37.355,3.646,-0.038,0.017,1.904,2.821,14.217,0.016,2.364,7.298,14.784,0.034,2.365,,3.995,5.5,0.054,,,26.389,0.942,18.828,,0.103,3.85,16.692,4.333,3.311,10.314,1.027,,16.396,11.212,0.015,3.032,6.002,0.053,1.237,,2.034,1.059,1.403,1.098,,12.769,,0.932,,12.974,0.019,10.244,0.027,6.124,10.774,0.206,10.63,5.474,6.742,44.793,,,14.506,0.584,,4.704,9.697,3.823,14.02,12.216,11.104,1.092,,,,22.136,0.069,2.201,0.412,60.778,4.271,4.541,,0.129,,3.0,0.03,4.089,3.055,18.984,15.215,,,9.649,5.336
1985,2.846,0.492,1.037,10.6,,0.01,0.047,,1.209,,12.117,9.171,12.184,4.338,2.257,0.033,,,10.803,0.062,3.181,0.048,0.426,0.032,16.008,9.393,12.104,0.316,0.303,1.864,1.842,5.075,3.41,30.0,0.158,24.046,47.993,6.922,0.187,0.021,1.514,25.434,14.179,3.536,0.305,0.492,4.96,,7.419,2.773,,1.962,,4.392,0.538,19.139,15.345,29.5,21.241,0.796,2.784,0.059,4.678,,6.941,0.723,0.686,0.006,0.043,7.441,9.127,12.384,,7.2,,1.609,47.28,4.045,-0.009,0.016,1.511,3.499,9.525,0.017,2.595,7.374,18.363,0.031,6.035,,5.026,7.465,0.081,,,27.72,1.516,21.262,,0.241,3.377,21.689,5.116,2.549,6.832,0.783,0.395,17.002,21.29,0.015,3.107,7.189,0.1,0.801,,2.181,0.769,2.16,1.352,,10.823,0.041,1.07,,11.878,0.028,10.347,0.024,14.397,7.868,0.121,11.912,7.705,8.835,40.971,,,14.711,1.088,,5.1,12.667,3.865,10.091,17.417,10.672,1.168,,,,20.206,0.103,1.991,0.274,41.625,3.132,5.177,,0.176,,3.839,0.028,4.34,3.206,17.805,18.175,,,16.077,4.876
1986,10.158,0.08,1.604,9.281,,0.102,0.073,,1.927,,16.199,10.28,13.24,5.801,3.748,0.072,,,10.693,0.005,6.884,0.069,0.297,0.094,23.639,7.852,12.175,0.022,0.364,2.06,1.85,4.188,5.701,65.575,0.151,16.522,55.362,4.382,0.176,0.528,1.145,32.558,8.812,1.195,0.27,0.673,4.459,,6.272,3.25,,2.491,,6.398,6.114,47.383,21.506,28.732,13.154,1.743,5.779,0.046,4.892,,7.708,0.913,0.804,0.013,0.063,5.791,7.053,10.123,,6.328,,1.681,52.84,4.271,-0.015,0.019,2.283,2.144,11.08,0.045,3.61,7.956,14.52,0.023,2.253,,7.389,12.683,0.212,,,20.716,0.451,23.871,,0.225,3.93,20.662,8.378,3.783,11.288,0.736,0.928,17.201,16.095,0.055,4.445,9.128,0.083,1.432,,2.585,0.555,1.335,2.722,,9.962,0.035,1.511,,11.193,0.041,10.601,0.031,9.574,11.101,0.159,19.472,20.064,8.998,57.361,,,11.875,1.503,,6.213,13.399,5.705,14.111,15.138,11.699,1.07,,,,19.444,0.432,2.562,0.461,47.778,6.153,4.938,,0.498,,8.164,0.035,2.804,3.838,20.008,21.437,,,33.233,4.43
1987,4.421,1.612,1.421,10.225,,0.315,0.08,,1.811,,17.826,8.716,11.359,6.511,0.295,0.025,,,8.538,0.013,6.972,0.123,0.284,0.105,17.327,8.955,15.294,0.141,0.505,2.615,1.577,8.412,5.887,21.2,0.238,16.045,35.94,5.3,0.198,0.503,1.126,28.08,10.587,2.07,0.329,1.488,4.315,,5.802,3.041,,2.707,,8.285,7.74,41.316,25.592,60.489,9.197,3.452,9.031,0.039,4.23,,10.389,1.67,0.612,0.053,0.158,3.086,5.46,9.891,,7.245,,2.054,52.97,5.103,0.007,0.012,4.979,4.482,8.443,0.023,3.008,6.45,14.188,0.007,2.01,,10.882,12.849,0.125,,,17.399,-0.077,20.266,,0.156,17.772,15.305,6.918,3.357,16.019,1.199,0.75,18.994,16.336,0.124,4.322,10.911,0.125,0.582,,2.043,0.544,0.865,1.902,,10.408,0.101,1.636,,10.996,0.048,11.151,0.022,7.595,10.562,0.115,35.748,10.461,10.99,59.541,,,15.655,1.91,,6.384,9.622,7.493,12.089,17.501,7.063,0.925,,,,24.188,0.811,2.978,0.445,256.8,11.58,4.804,,0.229,,7.801,0.049,3.443,2.434,41.622,28.595,,,21.987,5.429
1988,3.326,2.76,1.66,7.88,0.271,-0.032,0.117,,2.224,,18.933,9.904,11.017,5.123,-0.08,0.054,,,7.965,0.002,9.429,0.083,0.103,0.153,14.593,6.07,16.547,0.216,0.614,4.566,2.261,6.879,4.541,18.344,0.213,14.469,31.091,4.259,0.227,2.273,1.044,22.696,10.518,2.168,0.304,1.267,4.305,,8.684,4.775,,2.973,,11.36,7.622,30.596,24.711,50.968,8.709,2.754,7.132,0.038,5.185,,5.256,1.946,0.664,0.066,0.011,2.478,5.291,7.968,,10.359,,1.563,38.756,8.337,0.005,0.021,11.711,4.006,6.454,0.023,4.457,8.195,13.444,0.015,1.95,,9.833,16.044,0.102,,,20.316,-0.134,26.089,,0.121,28.005,13.621,9.93,2.705,18.705,0.306,0.985,12.595,16.618,0.186,39.603,10.524,0.327,0.063,,3.095,0.391,2.003,1.855,,10.36,0.056,1.64,,12.162,0.029,10.282,0.019,6.729,9.673,0.088,31.042,10.172,9.762,41.195,,,26.554,1.832,,4.99,7.232,1.937,8.767,17.746,10.822,0.87,,,,15.14,0.149,3.28,0.319,99.786,13.948,6.069,,0.432,,8.968,0.046,2.826,2.888,26.78,17.553,,,14.309,4.309
1989,3.557,4.471,1.51,10.419,0.459,-0.014,0.287,,1.059,,18.818,18.297,10.187,5.04,-0.05,0.134,,,7.944,0.006,10.866,0.052,0.05,0.153,14.718,5.607,15.626,0.246,0.594,4.713,4.192,5.46,4.466,18.615,0.202,12.848,30.62,4.647,0.214,0.202,0.899,17.652,13.182,2.063,0.295,1.118,4.189,,6.229,3.485,,3.342,,13.937,10.757,36.951,21.844,69.407,5.678,2.898,15.465,0.06,4.725,,6.864,1.967,0.604,0.076,0.017,2.378,6.385,8.405,,13.182,,2.343,40.31,7.344,0.021,0.014,14.989,3.457,5.815,0.039,4.076,7.807,16.504,0.012,1.965,,11.629,15.744,0.054,,,20.494,-0.233,7.447,,0.185,22.948,18.046,11.286,2.753,18.034,0.375,2.42,12.888,13.566,0.663,31.045,11.755,0.078,0.271,,3.038,0.354,1.477,1.644,,9.554,0.047,2.089,,10.564,0.075,9.421,0.013,3.65,11.537,0.314,27.661,11.148,8.962,36.995,,,48.37,9.387,,3.666,6.33,1.41,8.959,17.596,10.641,0.958,,,,20.55,0.13,2.909,0.138,40.706,14.533,9.914,,0.382,,7.356,0.157,7.037,1.967,24.365,17.113,11.425,,10.221,3.774
1990,3.96,3.39,2.221,5.536,0.545,0.007,0.127,,1.065,,23.505,13.893,10.554,5.55,3.089,0.105,0.0,,5.636,2.1,10.501,0.047,0.116,0.11,15.409,3.941,17.552,0.348,0.561,7.454,3.77,6.501,9.344,14.795,0.222,10.462,34.071,4.076,0.185,0.394,0.692,44.711,9.97,1.345,0.555,1.031,14.484,1.355,8.131,3.816,,2.459,,9.689,7.798,33.308,20.645,50.192,5.188,2.494,57.014,0.051,8.845,,5.059,1.578,0.44,0.085,0.036,2.296,6.525,24.123,,14.394,,3.78,42.844,3.812,0.018,0.049,12.099,8.254,21.542,0.029,2.363,7.724,14.538,0.007,4.233,,10.529,8.067,0.071,,,17.973,0.194,7.371,,0.518,25.183,16.311,11.284,3.312,18.281,1.107,4.209,11.958,10.961,0.453,30.318,9.813,0.239,0.599,,2.327,1.614,1.601,2.297,,11.957,0.046,1.085,,7.821,0.039,11.344,0.012,2.742,11.283,-0.005,19.814,10.228,7.004,53.019,,,49.651,15.77,,4.568,9.383,7.916,10.545,18.046,11.391,0.944,,,0.039,23.205,0.365,3.304,0.88,26.632,19.392,15.687,,0.512,,6.712,0.168,5.206,2.979,28.018,21.124,3.581,,15.801,4.753
1991,2.89,15.235,1.712,8.736,30.793,-0.014,0.151,0.132,1.532,0.006,22.18,13.582,13.425,5.099,1.97,0.094,0.0,,3.715,-0.292,9.376,0.059,0.117,0.098,25.279,3.272,12.744,0.348,0.499,6.905,4.65,3.652,5.848,14.949,0.276,14.929,31.776,2.625,0.155,-0.037,0.693,22.186,8.316,0.819,0.489,1.246,14.373,,7.955,3.334,0.243,2.943,0.003,13.557,8.925,14.857,17.739,51.388,5.595,2.055,59.696,0.042,6.861,,4.937,1.614,1.028,0.184,137.433,2.532,4.473,23.589,0.408,11.783,,5.596,27.314,3.509,0.016,0.072,10.611,2.614,32.977,0.024,4.196,8.271,11.418,0.003,4.897,,14.709,12.685,0.095,0.272,,16.526,0.747,8.511,,2.93,28.425,10.492,14.794,2.321,17.137,0.617,5.804,11.706,11.168,0.469,60.716,9.508,0.603,0.117,,2.571,1.682,1.987,1.841,,9.399,0.055,2.176,,9.134,0.041,18.893,0.01,2.284,8.888,0.017,16.822,14.343,5.327,26.784,,,53.135,9.7,,4.316,5.861,4.563,13.889,13.99,8.92,0.738,,,0.315,12.652,-0.038,2.832,1.085,25.05,15.302,20.321,,0.382,,6.556,0.059,4.27,2.498,26.062,25.274,2.09,,29.334,5.816
1992,3.159,5.897,4.389,6.182,66.392,-0.018,0.119,2.11,0.943,1.67,28.932,16.455,12.956,4.614,1.675,0.094,0.401,,3.853,-0.254,12.062,-0.073,0.066,0.128,24.962,2.612,12.726,0.31,0.7,7.706,6.277,3.336,4.501,15.11,0.425,10.384,32.536,1.902,0.114,0.0,0.381,22.528,5.595,0.714,0.818,1.29,8.885,0.21,10.874,4.233,6.73,1.409,0.549,9.734,9.623,15.638,19.127,41.213,4.239,1.926,25.658,-0.039,6.831,0.0,4.477,1.575,0.855,0.096,25.201,2.679,3.791,8.569,0.046,11.266,0.91,10.006,28.011,3.494,-0.001,0.026,12.676,1.81,38.958,0.01,4.431,5.274,11.812,0.003,2.908,,10.133,12.43,0.096,4.886,,15.221,0.146,4.753,,7.808,54.834,9.515,10.985,1.393,22.071,0.361,4.108,12.243,10.458,0.56,47.192,11.38,0.672,0.329,,1.779,2.579,1.25,2.682,0.008,10.888,0.077,1.127,,7.086,0.037,17.282,0.035,8.663,8.673,0.038,17.12,21.993,6.357,95.009,,,66.388,19.76,,4.094,4.303,1.635,10.571,12.557,9.409,0.676,0.62,0.206,0.034,15.871,0.118,2.627,0.228,38.381,20.54,26.171,,0.519,0.012,6.715,0.059,3.022,5.941,21.676,26.719,1.447,,35.953,15.976
1993,2.334,8.404,8.769,5.663,22.205,-0.018,0.105,9.122,0.552,1.516,23.353,12.875,14.743,3.421,2.226,0.039,2.34,,4.256,-0.21,9.886,0.055,0.246,0.123,30.564,2.916,13.63,0.376,0.722,7.89,3.508,1.756,5.752,11.956,0.165,10.686,23.413,1.249,0.199,-0.051,0.516,27.491,3.728,0.033,0.677,1.027,5.31,14.468,12.074,3.783,28.5,2.692,3.945,10.71,8.733,11.535,16.104,35.342,2.615,1.94,24.234,0.025,6.138,,6.457,1.234,0.532,0.22,16.347,1.635,2.002,5.869,0.066,16.981,4.696,11.862,17.918,4.274,-0.009,0.007,11.685,1.73,55.605,0.009,4.167,5.266,12.248,0.003,2.548,,9.234,9.581,0.086,24.128,0.126,13.119,1.098,3.277,,14.422,42.783,18.99,15.297,0.808,16.506,0.148,4.659,13.988,11.005,0.566,21.963,8.162,0.808,1.071,,1.642,0.95,1.715,2.208,0.009,6.23,0.12,1.535,4.752,7.538,0.051,18.094,0.021,5.582,6.871,0.04,17.99,28.479,5.193,72.886,,,41.509,18.534,0.054,3.858,4.004,2.074,6.606,15.704,5.472,0.459,1.576,0.971,0.096,20.3,0.033,1.777,0.252,21.316,15.691,19.23,,0.772,0.061,4.924,0.072,1.368,1.97,19.5,27.897,1.471,0.187,28.715,10.055
1994,1.489,10.716,23.033,7.12,8.607,-0.013,0.063,14.59,0.696,12.482,34.038,16.403,23.025,3.976,1.799,0.032,37.449,,4.324,-0.526,9.296,0.051,0.138,0.129,30.301,2.111,20.188,0.285,0.556,21.139,8.631,4.771,24.017,10.569,0.115,12.094,29.475,0.852,0.169,-0.104,0.597,25.309,7.743,0.42,0.724,0.882,5.166,28.976,15.149,2.248,46.036,4.902,7.182,10.267,7.371,9.463,29.754,32.315,7.472,1.525,14.869,0.02,5.788,0.736,28.407,0.874,0.719,0.182,6.352,1.408,2.375,6.313,0.248,9.989,10.385,10.831,14.701,2.202,-0.025,0.016,12.402,2.297,34.835,0.014,4.899,4.4,9.579,0.005,1.976,,8.558,8.755,0.083,33.818,2.968,21.377,1.391,4.0,,17.257,42.461,14.382,18.58,0.414,27.392,0.093,3.717,13.44,19.155,0.413,15.9,9.418,23.167,1.244,,2.342,0.421,0.805,1.345,169.655,5.86,0.061,1.282,14.722,8.019,0.042,94.9,0.012,3.433,12.99,0.023,11.722,34.302,3.603,37.395,0.242,,42.314,10.003,0.209,4.118,2.543,7.75,8.399,18.113,9.281,0.401,5.076,1.002,0.048,14.307,0.444,0.717,0.156,30.636,15.063,19.139,,0.437,0.22,4.523,0.049,3.475,5.641,20.689,22.577,0.625,0.194,20.91,11.264
1995,1.977,6.57,8.728,3.5,7.414,0.008,0.058,14.437,0.385,4.954,29.044,13.203,20.703,2.642,1.725,0.113,59.434,,2.372,-0.081,10.429,0.035,0.024,0.091,27.455,1.908,15.336,0.227,0.479,12.109,4.304,3.992,10.331,9.681,0.2,10.426,23.862,0.403,0.214,-0.054,0.227,20.496,9.579,0.679,0.747,0.798,3.353,25.305,11.251,2.216,31.567,3.348,8.122,10.265,7.84,5.892,18.404,28.305,3.289,1.417,12.703,0.012,7.371,0.234,23.212,0.638,0.486,0.195,2.582,0.327,1.845,8.381,0.291,8.401,15.084,14.958,13.971,1.287,0.01,0.013,14.02,1.567,66.541,0.022,7.05,3.666,8.413,-0.058,1.324,,8.156,13.85,0.112,21.824,1.688,20.324,0.244,3.037,,10.749,36.01,11.414,14.134,0.584,21.393,0.126,4.644,12.437,11.736,0.446,15.127,8.637,5.271,0.56,,0.851,0.511,0.757,0.986,104.647,8.2,0.258,1.486,13.809,8.561,0.045,53.48,0.012,1.838,10.571,0.019,10.33,25.95,3.163,12.655,0.564,,91.402,11.136,0.245,3.244,2.532,3.292,2.668,16.31,10.542,0.504,5.501,1.228,0.004,15.042,0.478,0.439,0.189,32.348,11.611,14.636,,0.363,0.629,15.62,0.059,0.354,3.755,20.939,19.602,1.404,0.229,56.961,9.808
1996,1.434,5.432,9.074,2.462,6.929,,0.046,17.8,0.593,3.043,12.926,12.453,16.168,2.025,2.177,,33.222,,2.558,-0.148,10.573,0.031,0.25,,21.306,1.623,17.136,0.258,0.312,8.596,3.913,3.078,29.642,6.282,0.205,9.899,23.386,-0.002,0.233,-0.177,0.237,19.035,15.799,0.472,0.691,0.985,3.223,22.958,9.366,2.227,49.21,2.566,10.23,9.593,5.369,4.334,26.428,16.481,3.366,1.184,13.599,0.008,4.817,0.552,11.339,0.478,0.489,0.137,3.353,1.987,0.871,7.682,0.569,5.045,11.422,11.239,11.935,2.148,-0.024,,13.309,1.67,78.845,0.013,5.419,2.537,8.146,0.005,1.542,,7.437,6.176,0.073,51.807,2.296,17.948,1.873,0.807,,12.41,22.517,12.628,27.208,0.458,14.836,-0.475,4.628,10.983,10.255,0.376,22.173,7.316,7.222,0.561,,1.12,0.603,0.619,0.879,40.922,8.079,0.243,0.773,14.408,7.694,,34.014,0.009,2.518,8.847,,8.482,20.079,2.896,5.056,0.318,,38.852,12.701,0.381,1.905,3.704,1.682,1.786,18.521,7.606,0.466,10.666,0.987,0.013,12.916,0.288,0.684,0.138,43.083,9.263,11.25,,0.181,0.632,8.174,0.052,0.263,3.724,13.365,14.3,4.257,0.226,17.932,5.721
1997,1.661,7.656,5.251,2.142,7.286,,0.035,9.573,0.61,4.656,5.875,9.882,15.097,1.74,2.458,,25.03,,1.624,,8.129,0.026,0.24,,18.485,2.495,9.93,0.157,0.217,4.063,4.891,2.777,16.175,7.178,0.183,8.275,22.794,0.03,0.263,,,16.63,5.091,0.336,0.539,0.583,2.545,18.084,6.649,2.168,40.402,0.842,6.653,7.312,7.055,4.987,18.206,6.173,2.368,1.46,34.842,,4.989,0.167,8.382,0.381,0.399,0.177,1.083,,0.941,6.758,0.568,3.466,11.02,9.539,12.584,2.037,-0.028,,14.266,1.626,20.347,0.013,3.507,1.701,6.921,0.005,1.235,3.276,20.268,4.882,0.022,39.205,2.547,16.238,0.585,1.293,,15.702,19.804,11.444,101.786,0.995,8.878,-0.254,3.962,10.295,14.216,0.38,8.586,6.402,5.822,0.656,,1.132,0.534,0.711,0.639,23.839,7.342,0.858,0.897,14.323,7.872,,12.519,0.001,1.226,7.112,,8.068,14.167,2.644,3.804,0.379,,40.756,8.376,0.466,1.533,2.929,1.538,1.634,14.919,5.993,0.429,9.57,0.821,0.067,11.668,0.625,0.984,0.004,37.519,8.552,13.009,,0.157,0.96,1.773,0.009,0.345,3.226,11.186,10.853,5.709,0.299,15.047,5.686
1998,0.678,5.645,6.054,2.226,10.25,,0.025,9.947,1.298,2.698,7.768,8.404,14.28,1.905,3.317,,18.574,,1.625,,6.591,0.031,0.625,,17.081,2.164,12.71,0.134,0.243,8.047,4.609,2.18,4.394,6.656,0.185,10.979,25.149,0.222,0.317,,,15.425,6.302,0.517,0.909,0.675,2.304,22.508,8.308,2.308,33.473,1.125,5.485,9.603,7.033,4.841,16.64,7.641,1.481,1.199,11.404,,4.605,0.152,9.403,1.405,0.385,0.149,0.579,,0.272,5.324,0.964,2.974,12.521,10.057,14.045,1.868,-0.013,,17.078,1.959,15.787,0.02,0.787,2.068,5.188,0.008,1.162,2.302,11.324,4.85,0.006,29.913,2.826,12.084,0.551,1.121,,15.27,19.18,8.059,172.763,0.962,17.311,0.296,4.62,10.715,10.665,0.373,11.337,6.328,5.889,4.118,,1.379,0.29,0.903,0.698,53.365,10.181,1.026,0.713,12.797,7.748,,17.773,0.011,1.941,7.784,,6.362,16.724,1.74,2.818,0.556,,43.844,5.356,0.18,2.139,3.889,1.137,2.076,10.002,5.792,0.641,12.478,1.043,0.254,10.095,0.255,0.72,0.01,20.76,8.299,10.008,,0.109,1.062,5.738,0.045,0.185,3.951,11.616,13.411,6.609,0.344,10.502,6.663
1999,-0.439,5.254,8.106,1.667,14.852,,0.03,11.013,1.335,3.586,9.423,5.796,11.752,1.903,0.974,,23.758,,4.953,,6.426,0.025,-0.021,,20.006,1.166,11.984,0.097,0.223,3.813,3.908,3.165,8.538,5.248,0.375,5.768,23.454,0.025,0.213,,,13.714,3.245,0.877,0.298,0.835,1.776,21.564,8.205,1.88,45.522,1.168,8.376,8.076,4.787,4.37,9.31,3.892,2.28,1.551,8.885,,12.112,0.208,5.141,1.649,0.327,0.142,0.212,,-0.201,5.443,1.031,2.446,17.325,7.345,17.48,1.259,-0.011,,17.515,1.105,20.161,0.015,3.094,1.184,2.65,0.005,1.499,8.901,8.684,5.452,0.007,40.188,7.305,10.436,0.601,0.955,,16.688,13.288,11.047,131.968,0.953,17.459,0.198,4.698,10.292,7.093,0.276,12.83,5.791,19.848,0.356,,1.003,0.213,0.931,0.682,17.802,6.654,1.957,0.914,11.553,7.405,,17.388,0.013,2.409,8.246,,8.508,11.431,1.799,3.897,3.646,,39.314,3.983,0.137,1.782,2.087,1.611,2.292,12.259,3.269,0.827,10.656,1.037,33.661,9.379,0.42,1.149,0.005,14.741,7.908,10.153,,0.107,0.924,4.444,0.045,0.359,4.402,11.826,10.495,6.636,0.366,19.235,5.353
2000,,3.987,4.057,2.496,8.866,,0.027,10.953,1.154,2.716,10.543,6.977,6.064,1.772,0.684,,12.103,,1.492,,5.214,0.04,0.061,,10.239,0.563,8.396,0.067,0.146,3.603,3.782,0.954,1.41,4.068,0.207,5.5,18.029,0.178,0.151,,,12.741,5.198,0.264,0.384,0.961,1.367,25.179,8.406,1.717,40.788,0.276,5.556,12.42,3.573,6.593,21.391,3.146,3.472,1.366,9.512,,5.742,0.302,2.67,1.068,0.299,0.118,0.212,,0.163,6.473,1.078,4.087,15.012,9.778,14.471,1.017,,,14.073,1.144,8.722,,1.249,1.389,3.286,,1.059,9.072,7.16,3.055,-0.006,31.64,6.774,9.827,0.542,1.187,,16.393,15.814,12.472,93.758,0.441,17.784,0.056,3.866,,8.956,0.271,10.227,5.645,12.5,0.427,,0.564,0.229,0.816,0.604,28.151,8.325,0.694,1.036,14.204,,,15.651,0.012,1.935,7.297,,16.438,29.325,1.669,3.067,16.496,,49.92,3.871,0.3,0.741,3.788,0.928,1.9,9.579,3.351,0.566,13.565,1.303,44.907,7.932,-0.021,1.085,0.122,17.522,8.028,14.064,,0.095,1.368,1.539,0.068,,4.834,13.704,11.823,3.514,0.33,23.067,4.025
2001,,14.531,3.834,2.408,6.634,,0.06,9.692,1.038,4.151,16.116,7.679,12.301,1.651,0.818,,10.191,,2.043,,8.524,0.047,0.011,,11.01,0.541,8.239,0.081,0.113,1.876,4.466,3.492,3.753,4.255,0.418,7.3,14.014,0.094,0.175,,,10.154,6.252,0.479,0.344,0.786,1.33,37.96,13.491,1.597,55.042,0.197,9.081,12.384,7.163,8.039,15.136,2.252,2.358,1.24,9.67,,7.605,0.497,2.689,0.944,0.359,0.09,0.342,,0.673,4.928,0.71,3.679,8.828,9.55,9.977,2.389,,,12.037,1.132,5.131,,1.931,1.719,4.652,,1.146,7.49,7.016,2.636,0.013,42.854,6.726,10.652,0.041,1.942,,14.479,17.726,16.496,94.314,0.454,16.657,0.034,3.088,,10.109,0.244,16.146,5.768,26.889,0.045,,1.879,0.292,0.901,0.64,23.009,7.272,1.071,0.91,23.076,,,15.672,0.007,1.271,6.588,,14.435,31.48,2.105,6.774,10.058,,52.303,3.263,0.602,1.772,2.079,0.828,1.697,11.173,2.233,0.243,15.79,2.184,30.675,11.34,-0.075,1.734,0.068,32.077,9.622,14.646,,0.079,1.336,1.821,0.037,,3.895,11.439,16.391,4.058,0.326,14.529,3.445
2002,,31.471,3.033,0.483,6.896,,0.107,12.006,1.593,5.806,21.171,5.318,12.271,1.419,0.679,,7.763,,1.985,,7.795,0.048,0.159,,10.893,0.787,6.08,-0.01,0.104,9.831,5.159,13.952,2.616,3.223,0.481,6.489,15.264,0.084,0.188,,,12.228,9.705,0.62,0.314,0.905,1.535,31.352,16.99,1.849,44.829,1.476,9.313,11.419,5.954,11.83,13.075,2.454,2.073,1.258,7.043,,5.054,0.497,2.454,0.683,0.34,0.089,0.35,,0.313,5.831,0.8,2.98,10.24,9.943,17.054,6.343,,,13.835,1.116,7.206,,3.853,1.534,6.857,,0.785,7.822,7.116,2.464,0.017,33.778,6.893,11.467,0.245,1.757,,13.187,41.462,19.829,117.649,0.485,7.53,0.095,3.977,,10.12,0.332,8.291,5.535,46.88,0.401,,2.041,0.234,0.929,0.599,20.975,7.34,2.429,1.0,25.738,,,18.469,0.009,1.757,6.45,,7.723,31.334,2.021,7.11,12.225,,31.818,1.174,0.227,1.545,8.595,0.332,1.022,11.835,2.14,0.23,13.11,1.016,28.86,9.685,-0.111,0.981,0.116,33.457,8.972,12.125,,0.118,1.922,0.972,0.064,,3.085,10.874,14.519,2.192,0.401,20.053,4.325
