Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAN,CHE,CHL,CHN,CMR,COK,COL,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GBR,GEO,GHA,GIB,GLP,GNB,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KHM,KIR,KNA,KOR,KWT,LBN,LBR,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDV,MEX,MHL,MKD,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_CIS,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SGP,SHN,SLB,SLE,SLV,SMR,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,0.0,,,0.0,,,,,5.011081,,1.5856279,2.1837761,1.1589109,4.549806,,1.0407836,,2.5730062,,16.307627,1.6409465,4.9871097,,1.7373629,,19.646343,13.148659,,3.393932,,2.3642073,1.6385695,,,,,74.99984,,4.4526935,,,7.6926036,0.6342357,,1.1680138,,0.79750633,,,8.516592,0.4606431,,1.2382199,7.514471,,3.0481844,4.138024,2.3776002,,1.2724626,4.955158,,,,,1.0137948,,,,,,12.001704,2.4637642,9.949483,2.8334672,,1.9361773,,,5.1055975,0.4837767,,6.643458,,3.2343242,3.1456325,22.858324,3.313171,0.54781306,8.59855,,,,,0.4719276,,,,10.155488,,12.138848,28.67885,4.8714314,,,,,0.36511996,,6.515173,0.44491506,17.499361,,,1.0872283,5.1384764,,,,,0.0,,1.8365077,,1.7551562,,,,,,16.143915,0.8981511,1.1081144,1.8130999,1.8648356,,,,,7.067246,11.32114,,14.765809,,,1.7842383,16.944136,1.5503137,,,,0.9087284,,3.4699926,14.193224,,,1.5462607,,,,,,,,,6.5051227,,1.7660202,2.0520449,1.1099988,18.68348,,,0.0,9.762812,3.1118212,8.828467,,,,,,,,,4.914119,6.6357365,9.25038,5.497202,,9.837942,12.477928,6.367602,,,,,,,7.0638075,5.790507
1991,,,,11.490951,,,,,5.1466856,,4.7328315,1.9592936,1.327809,4.8808446,,1.0224286,,4.312428,,9.973961,,4.5615563,,5.173841,,18.552387,8.096463,,2.000722,,2.6778271,1.4418248,,,,,85.877335,,4.1221967,,,7.3274837,0.12516522,,1.403431,,1.3192754,12.438606,,10.773304,0.47976813,,1.121123,7.601971,,3.0714736,2.1804488,2.365921,,1.3899713,7.788814,,,,,1.3389422,,,,,,25.67322,1.6346564,13.735788,9.0567,,2.9581306,,,5.4952464,0.65077275,,6.5907764,,2.3431504,3.3955088,23.574802,3.0905588,0.5157807,8.750709,,,0.0,,0.4873072,,,,7.1674314,,,29.798437,5.7815843,,,3.3124695,,0.5000199,,6.50719,,17.91768,10.972733,,0.80790347,,,,,,0.0,,2.6290953,,2.0935028,,,,,,17.184563,1.1679244,1.1732621,,1.5398839,,,,,,11.721248,,13.523914,,,2.225254,22.861654,1.5252329,,,,0.879406,,3.5995343,15.136325,,,1.6261246,,,,,,,,,5.5689697,,2.4220066,2.0008073,1.3345776,18.718561,,,0.0,10.039459,2.6708992,7.935904,,,,,,,,,5.0756207,6.213262,9.631872,5.0660906,,16.039707,12.322151,0.0,,,,,,,8.569656,
1992,,,,0.0,3.9603949,,,,8.538965,,3.1053731,1.7151692,1.236817,7.615673,,1.2039715,,5.3977633,,14.339324,,5.81352,,1.7121089,,16.83152,8.452874,,4.6731076,,2.5719244,1.3527173,,,,,83.482,,4.8717246,6.2396846,,3.493938,0.24680983,,1.4307796,,1.1989093,10.835889,,8.5543375,0.44892165,,1.1181285,14.088969,,3.0939195,3.3106427,2.331688,,1.3842877,14.544254,,,,,1.3224072,,23.317131,28.029041,,,14.001661,1.8751444,18.118538,8.092455,,2.9407585,,,5.5028086,0.7025588,,7.6335273,,3.005706,2.583808,26.06507,3.4159522,0.54106766,10.846598,,5.2877555,0.0,,0.53701943,,,,9.8858185,,,34.164776,7.1939635,,9.905055,0.80591327,,0.52355045,,11.199112,,19.285301,4.3115063,,1.6008773,,,,,,20.026033,,2.7736273,,1.9432349,,,,,,18.957886,1.2633548,1.0731965,,1.8853929,,,,,,12.142103,,12.579231,,,2.2414815,23.957462,1.4323524,,,,1.277528,,3.661774,22.772572,,,1.3327281,,,,,,,,,9.36695,,,2.4049802,1.3152469,18.443613,,,7.7103972,10.540884,10.709102,7.5037613,,,,,,,,,6.4406796,5.7967296,9.15233,5.329277,,15.99872,15.716319,0.0,,,,,,,9.392565,
1993,,,,10.836584,5.8270354,,,,7.7606196,,6.0987697,1.8789239,1.0116984,6.369838,,1.4349035,,5.7874928,,12.013475,,7.3818607,,5.100696,,17.865892,8.045145,,3.4254448,,2.1713014,1.5133814,,,,,82.57777,,4.751393,7.3978205,,6.672004,0.6053016,,1.6542562,,1.3683748,12.245589,,8.30175,0.38782066,,1.1948973,18.745737,,2.5658283,1.8978478,2.62797,,1.3497868,16.9538,,,,,1.4405416,,21.521383,33.03762,,,15.538581,1.4570066,23.095432,4.6091304,,2.8773172,,,5.199658,0.6431548,,5.822554,,2.7722917,1.8733351,26.817251,3.7948313,0.5727333,14.970054,,6.9518743,0.0,,0.6826619,,,,5.566166,,,34.967003,11.303744,,15.094664,3.1469095,,0.5777958,,8.700073,,18.299263,,,1.8507893,,,,,,0.0,,1.8544791,,1.8630971,,,,,,17.109247,1.247586,0.8812898,,1.1590492,,,,,,11.777759,,11.488122,,,2.36324,26.228928,1.4023925,,,,0.8255176,,3.2264771,30.418112,,,1.7480979,,,,,,,,,6.131819,,2.572113,1.3060007,1.2388111,17.913794,,,7.327349,9.54957,22.777319,8.2332945,,,,,,,,,7.060155,,9.338498,5.180109,,12.418504,20.193352,0.0,,,,,,,8.896668,
1994,,,,0.0,3.4256952,,,,4.666217,,7.480271,1.7879659,1.10857,6.5581155,,1.186239,,5.8453703,,17.53741,,8.103469,,10.136163,,18.743233,7.644661,,3.6068692,,2.0447805,1.143905,,,,,77.08795,,5.273648,8.2766695,,6.3791785,0.828729,2.0053613,2.3834093,,1.440593,12.981654,,10.015655,0.35933402,,1.0763015,20.46467,,2.8888905,4.4037843,2.4241436,,1.4223366,11.454001,,,,,1.27075,,10.762332,32.249016,,,14.289088,1.5888091,30.155447,3.0584872,,3.0270977,,,5.0424805,0.6963485,,6.2910237,0.0,2.683689,1.6875613,27.957106,4.318844,0.59942436,14.95561,,3.2795184,0.0,,0.49528953,,,,6.8544793,0.0,,43.21196,12.722677,1.49035,13.802768,3.3322952,,0.7076699,,9.042823,,17.74495,4.1918616,,0.78646445,,,,,,11.30774,,2.3548949,,1.6952192,,,,,,15.93646,1.1042625,0.7609882,,1.5700179,,,,,,12.099438,,9.339417,,,2.391489,27.140717,1.4302164,,,,1.0010822,,3.4100533,32.300785,,,1.4336636,0.0,,,134.28119,,,,,6.0271597,,2.4142697,2.0621026,1.1389275,15.65054,,,13.943598,8.592106,10.917766,7.48179,,,,,,,,,8.1093025,,8.786521,5.4266315,,11.51283,21.785772,0.0,,,,,,59.005814,9.689528,
1995,7.903264,,,10.29442,7.948279,,,,3.5070941,,10.26566,1.9673568,0.9810924,5.738876,,1.4007723,,5.910806,0.8428548,13.268715,,9.414105,,,,21.022089,6.4875717,,2.9197667,,1.992591,1.1646937,,2.242049,,,62.34104,,5.204833,7.7983685,,6.1081758,1.0432425,1.7067424,2.4774477,,1.1273828,12.76604,,11.838392,,,1.0261471,16.933088,,2.858305,3.00471,2.2958403,,1.3911202,7.9378886,,,,,1.4354657,,19.699316,31.610601,,,14.3726,1.1817837,26.726427,3.5935714,,2.8674424,,,4.8303604,1.1909058,,,0.0,2.0916054,1.7629635,31.198122,0.73651713,0.5760998,14.625951,,3.9626703,0.0,9.450456,0.5029425,,,,10.795639,0.0,9.189216,,13.840495,0.4899235,11.585113,2.0065565,,,,9.10695,0.7792744,17.182014,,,,3.7859106,,,,,0.0,,2.155506,,1.947803,,23.280918,,,,15.22745,1.2399589,0.9635254,,1.0613896,,,,,,13.837111,,,,,2.2233999,23.391825,1.0865501,,1.1757785,,,,3.3454378,30.518965,,,1.528176,0.0,,,138.43839,0.0,,,,,,2.39061,2.2131739,0.9856903,,,,6.643856,7.685509,7.312664,6.4182043,,1.9955201,,,,,6.9445596,8.274593,8.529863,5.988512,8.055755,5.0485244,,17.691679,20.190306,11.211077,,,,,,60.341404,,
1996,,,,0.0,8.380375,,,,3.4769502,,4.309633,1.9338653,1.2435757,5.1079164,,1.1814548,,5.282583,1.3145074,16.652082,,9.543461,,6.6875095,,23.6866,,3.0173447,2.1866546,,2.1298606,1.1736618,,2.0643492,,,64.037964,,5.2224183,6.6776075,,2.928858,1.1359886,1.6802433,2.337619,,1.2920221,12.847177,,12.383847,,,0.9866449,14.91652,,2.985531,1.6173389,2.005802,,1.2813363,5.610069,,,,,1.5988526,,5.3572383,34.194653,,,11.570939,1.2217444,,2.6740904,,2.6304972,,,4.78851,1.1543189,,,0.3718025,2.1274462,1.6671888,36.641464,0.91602755,0.5175618,15.990471,,5.0179286,1.210324,9.329011,0.53985935,0.92472374,,,7.9767876,0.0,9.913422,,11.250901,0.96670544,10.903592,4.176612,,,,9.116486,,15.689103,,,,,,,,,13.151838,,2.9000762,,2.1438758,,21.444582,,,,13.995849,1.3491025,0.98148096,,1.2870778,,,,,6.540264,8.920135,,,,,2.2758574,23.333647,1.0528774,,4.3686857,,,,3.2029228,26.39235,,,0.9005174,0.0,,,116.99682,0.0,,,,,,2.4615712,1.9126301,1.119868,,,,6.342964,7.4666142,7.9782114,7.833353,,1.9945052,,,,,7.377424,8.506209,9.557627,6.393615,7.2528057,4.937483,,21.216595,21.891163,10.93703,,,,,,56.445694,,
1997,,,,9.752768,41.304665,,,,3.0804405,,1.4074001,1.9670452,0.82812583,3.5785291,,1.4241567,,4.843557,0.96153075,14.795588,,10.086576,,3.323529,,24.30493,,2.6200173,1.2529163,,1.9494935,1.2272253,,2.100489,,,62.498066,,5.6730523,6.792185,,5.626987,0.668473,1.8190571,2.1847408,,1.6650789,12.698679,,10.942984,,,1.1453642,12.522019,,2.7043197,1.6007122,1.644224,,1.2541268,6.0698266,,,,,1.9110694,,19.608017,36.82161,,,11.413661,1.5896087,,2.6195323,,2.8116665,,,4.745911,1.034776,,,0.73750526,2.7627866,1.52651,40.740265,0.8322954,0.5623053,16.087763,,2.7396119,0.0,16.118633,0.6037599,,,,8.520735,0.0,10.143466,,10.941933,0.95472574,11.178553,7.227714,,2.6898575,,9.50514,2.2412522,14.41377,,,,,,,,,0.0,,2.0265162,,2.52629,,19.357548,,,,14.117678,1.3228505,0.86265874,2.4763708,1.5885834,,,,,6.527666,11.10447,,,,,2.1043952,19.329449,1.127535,,1.5736601,,,,3.0921607,23.668655,,,1.0008897,0.0,,,112.46321,0.0,,,,,,2.6071835,1.8141527,0.9835483,,,1.9198909,12.13445,7.8831334,8.110975,8.255068,,1.9866201,,,,,7.4577026,8.780179,8.330891,7.5387526,6.6581826,4.436221,,7.954711,18.26499,,27.755419,,,,,53.61878,,
1998,,,,0.0,20.559898,,,,2.8986402,,,1.7859323,0.96509784,3.4887471,,,,4.681628,,,,10.277188,,0.0,,24.799057,7.620906,1.2804692,1.9317393,,1.8430616,1.0688733,,,,,61.094673,,5.921479,7.4129705,,2.7084491,0.7654054,1.69501,1.9533741,13.019986,0.92378545,13.489184,,13.409254,,,1.2851622,13.8888645,,2.1926641,,1.6349428,,1.383327,5.3097916,,,,,1.6486487,,10.685759,29.715027,,,14.798605,0.98139423,,2.36185,,2.81904,0.83783394,,4.838882,1.0239625,,,0.0,2.5387988,1.553783,33.42756,,0.6124101,16.174812,,6.5764527,0.0,18.182852,0.8170135,,,,9.051148,0.0,,,8.766068,0.9430526,10.372544,5.6763086,,2.012914,,8.68314,,14.2882185,,2.3557496,1.2697623,,,,,,15.869238,,2.5939133,,2.8712661,,23.488749,,,,13.084461,1.1120162,0.85753363,2.7448912,1.2856266,,,,,6.9927897,9.710032,,7.8017154,,9.71665,1.9803563,17.291876,1.2303724,,1.5187885,,0.34450683,,2.5173995,22.726913,,,1.0252684,0.0,,,94.95338,0.0,,,,,,2.3814857,0.7070477,1.0394765,16.181984,,2.1238384,0.0,8.713866,7.9496183,7.822231,,,,,,,,,8.326761,7.5325394,6.147342,4.4126916,,21.20516,19.27857,,23.05805,,,,3.334054,54.35935,9.195976,
1999,2.3129008,,,0.0,16.684462,,,,2.8415496,,,2.0359619,0.75057304,2.9874804,,,,4.053319,,,,9.701946,,3.2720103,,25.002106,8.761321,1.252303,2.231457,,1.7614692,1.2457795,,,,,63.333992,,6.3436975,5.500247,,0.0,1.0738446,1.6778232,1.6234424,10.164151,0.9771113,12.621048,,13.487513,,,1.1908013,11.185702,,2.7683585,,1.6129521,,1.4004408,5.4762754,,,,,1.444824,,19.597538,23.242653,,,11.903469,0.9521615,40.04398,2.5308824,,2.4755876,0.98119915,,4.602178,1.0125402,,,0.7208558,2.3040388,1.4307977,32.975582,,0.5804345,15.359856,,4.7367744,0.0,13.452613,0.8272742,,,,10.210464,3.055581,10.129466,,8.771179,1.3956832,9.578296,8.599602,,1.9267012,,9.139324,,12.61279,,1.85539,2.5195994,,,,,,0.0,,1.9073026,,2.620843,,21.335669,,,,11.3241415,1.273511,0.73961395,2.6113775,1.1732333,,,,,6.1979723,9.655054,,7.334741,,8.412265,1.9353467,15.627981,1.0670717,,1.76687,,0.4897955,,2.553442,25.960669,,1.1892394,0.98322046,0.0,,,65.01631,0.0,,,,,,2.6217418,1.2618654,1.1402526,11.059565,,2.0335145,0.0,8.109274,5.750302,7.1457667,,,,,,,,,8.504006,6.6379523,5.567722,4.1428323,,12.349381,24.82279,5.0682955,24.866917,,,,5.381141,48.371147,11.006154,
2000,,,,8.947345,4.1375203,,,,2.9114144,,6.674498,1.8920714,1.0233463,2.7645986,,2.0679462,2.4846835,4.1497307,,22.851143,2.3799384,10.138807,17.02665,0.0,,26.074846,7.6317525,1.2254001,3.0157673,,1.7674592,0.96046686,,,3.0779276,,67.89216,,6.323426,5.283952,,10.08217,0.84417886,1.8658167,1.6675376,2.9192393,1.0862118,14.09568,,14.445349,,,1.3481302,10.236242,,2.8592396,,1.7668701,,1.5425702,5.521724,,,,,,13.959851,23.128174,24.825623,,1.2494924,9.936823,0.6413446,48.28382,2.3346639,,2.011658,1.0200031,,4.552979,0.9730223,,,1.7775881,2.5199673,1.3374727,34.013004,,0.5337415,14.998933,,4.581805,3.3855078,6.6302004,0.79108614,,,,14.500429,0.0,,,10.570214,0.91715246,10.04935,2.2867126,,1.621901,,10.224402,,10.886631,,2.2846005,1.0002626,2.298478,,,,,0.0,,2.1370533,6.185963,2.3990092,,20.894653,,,,9.4771,1.1208836,1.068836,2.586926,1.3479974,,,,6.930091,5.750291,9.932339,,7.202476,,8.397953,2.2348225,19.26577,1.1280531,19.506483,1.3325751,,0.1550414,,2.5219696,28.00615,,1.0693718,1.0160474,0.0,,,59.747288,0.0,,2.963115,,,14.266442,2.39777,1.8119444,1.0820435,12.290987,,2.145705,0.0,8.1608925,4.502974,5.8262887,,0.9739232,9.092463,,,,,,8.915048,6.5519433,5.5370793,4.3087006,,17.614162,32.707203,,21.18283,,,,3.5517478,46.136833,7.955972,
2001,4.429434,,,0.0,6.9886894,,,8.316318,2.8531137,1.7527409,9.202171,1.7918525,0.8704051,2.6418574,,2.7413228,2.6884823,3.8847432,1.285796,13.116314,1.9619863,9.750389,25.767126,4.8490725,,27.20061,9.526513,,3.1107025,12.439743,1.7748687,1.1900824,,,4.9315815,,70.10959,,6.4106607,5.428866,6.9084153,4.8674827,0.7260454,1.3193984,1.4414061,1.4643861,0.9703614,12.5569315,,12.842021,,,1.3989371,9.869098,,3.0069559,,1.7477636,,1.6259599,6.2475705,2.1470647,,,,1.2173569,5.5562243,30.135967,26.98543,,4.9587955,10.4646635,0.9742792,51.612957,1.8832504,,2.498355,,,4.3065276,1.3461107,,,0.35081258,3.083076,1.2372229,43.400345,,0.547697,13.867889,,3.215235,4.427987,13.111745,0.8654862,1.9421135,,,21.218636,0.0,,,10.164111,2.0373445,9.365774,1.797248,,1.8844585,3.081949,9.8096075,2.441002,10.274817,,2.6617613,1.4896303,2.0012612,,,5.9338446,,0.0,,,7.763266,2.1975183,,19.008663,,,,10.554608,1.2482462,0.8197344,3.3992407,1.3104602,,,,7.0186663,6.0230713,9.968932,,7.189058,,7.611153,2.0288985,21.033236,1.0140691,25.329197,1.727177,,0.7375447,,3.1888807,29.374348,,1.3437866,0.7774225,0.0,,,60.15355,0.0,,3.1756706,,,16.236452,2.1935382,1.4072622,0.97796524,17.506062,,2.2051055,0.0,7.8867397,3.6364334,5.304348,,5.808972,11.391352,,,,,,9.884567,6.65801,6.695168,4.308441,,10.572594,31.865593,4.808617,25.800388,1.2876853,,,,44.999874,,12.771572
