Date,ALB,ARG,ARM,AUS,AUT,AZE,BEL,BGR,BIH,BLR,BOL,BRA,CAN,CHE,CHL,CHN,CZE,DEU,DNK,ECU,EGY,ESP,EST,FIN,FRA,GBR,GEO,GRC,HRV,HUN,IRL,IRN,IRQ,ITA,JPN,KAZ,KGZ,KOR,LTU,LUX,LVA,MAR,MDA,MEX,MKD,MNE,NLD,NOR,OWID_CZS,OWID_SRM,OWID_USS,OWID_WRL,OWID_YGS,PER,POL,PRK,PRT,ROU,RUS,SRB,SVK,SVN,SWE,TJK,TKM,TUR,UKR,USA,UZB,ZAF
1275,,,,,,,,,,,,,,,,,,,,,,,,,,0.8052434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,,,,,,,,,,,,,,,,,,,,,,,,,,0.5767877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,,,,,,,,,,,,,,,,,,,,,,,,,,0.41423276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,,,,,,,,,,,,,,,,,,,,,,,,,,0.36213985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,,,,,,,,,,,,,,,,,,,,,,,,,,0.49456882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,,,,,,,,,,,,,,,,,,,,,,,,,,0.39854214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,,,,,,,,,,,,,,,,,,,,,,,,,,0.6489647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,,,,,,,,,,,,,,,,,,,,,,,,,,0.61695576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,,,,,,,,,,,,,,,,,,,,,,,,,,1.0067112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,,,,,,,,,,,,,,,,,,,,,,,,,,1.7033753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,,,,,,,,,,,,1.368851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,,,,,,,,,,,,,,,,,,,,,,,,,,1.2389325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,,,,,,,,,,,,,,,,,,,,,,,,,,1.171149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,0.6626,0.7343,,0.42900002,2.2296002,,,0.98410004,,,0.5,0.7341,0.7313,3.1031003,0.84950006,1.0,,2.0012,2.8131003,0.5062,,0.72400004,,1.3479,1.3278002,2.3786001,,0.88540006,,1.1077,1.6745001,,,1.6077,1.7865001,,,1.2,,,,0.5005,,,,,2.5211003,3.0905,2.1471002,,0.89710003,1.1605,1.0611,1.0,1.7123002,,0.3995,1.1626,,,,,2.4419,,,0.87420005,,1.1122,,0.17780001
1962,0.63290006,0.56920004,,0.41360003,2.2367,,,0.8211,,,0.5,0.7701,1.2057,3.9791002,0.91050005,0.83330005,,2.4645002,2.9476001,0.3864,,0.93100005,,1.2401,1.4648001,2.4968002,,0.8956,,0.9649001,1.2559,,,1.6659001,1.9239001,,,1.0600001,,,,0.52900004,,,,,3.1758,2.2485,2.079,,0.9046,1.1478001,0.9548,0.9896,1.4223001,,0.5546,0.97730005,,,,,2.3820002,,,1.0299001,,1.2893001,,0.12960002
1963,0.5834001,0.8212001,,0.41250002,2.0702,,,0.98100007,,,0.5,0.72270006,1.2319001,3.0366004,1.1005001,0.86670005,,2.5081003,2.7599,0.4013,,0.96760005,,1.6265001,1.5325,2.6304,,0.87470007,,1.0322,1.3212,,,1.4603001,1.8202001,,,0.96000004,,,,0.45000002,,,,,2.9712,2.2707,2.0630002,,0.71150005,1.0945001,0.9936,0.9896,1.6254001,,0.6775,0.97510004,,,,,2.0604,,,1.2987,,1.1524001,,0.19350001
1964,0.6747,0.8424001,,0.48160002,2.3325002,,,1.1057,,,0.5,0.804,1.1136,3.6932,1.1478001,1.0,,2.7930002,3.1484,0.5389001,,0.85260004,,1.5941,1.7652,2.9891002,,1.0222001,,1.0707,1.6471001,,,1.6762,1.8571,,,1.1800001,,,,0.36670002,,,,,3.3693001,2.628,2.1422,,0.7293,1.1018001,1.1146001,0.9896,1.5812,,0.53580004,1.011,,,,,2.9273002,,,1.0500001,,1.2026,,0.1744
1965,0.50210005,0.7397,,0.4068,2.0159001,,,1.1153,,,0.6,0.78760004,1.401,3.3255002,1.1948001,1.1538001,,2.4281,3.0176003,0.52870005,,0.8881,,1.7152001,1.7538002,2.9293,,0.98090005,,1.1701,1.6135001,,,1.7439001,1.7952,,,1.11,,,,0.45970005,,,,,2.5538,2.5408,2.0032,,0.91450006,1.2438002,1.0685,0.9455,1.8442,,0.661,1.2223,,,,,2.8361003,,,1.0616,,1.4193001,,0.08490001
1966,0.67090005,0.6424,,0.44480002,2.5221002,,,1.3535,,,0.55,0.77550006,1.4892,3.4519,1.6057,0.9286,,2.4221003,2.9610002,0.44950002,,0.8493,,1.2766,1.8032,2.7618003,,1.0941,,1.1024001,1.94,,,1.7935001,1.7857001,,,1.6800001,,,,0.3684,,,,,2.5652,2.2097,2.0006,,0.8709001,1.2067,1.2482,0.94180006,1.7780001,,0.5127,1.0921,,,,,2.1769,,,1.1612,,1.3671,,0.061200004
1967,0.77250004,0.6236,,0.29930001,2.7201002,,,1.2182,,,0.55,0.77140003,1.097,4.0765004,1.3000001,1.0,,2.9914,3.1597002,0.54670006,,0.84480006,,1.6895001,1.9669001,2.7394001,,1.1152,,1.1006,1.7637,,,1.7800001,1.7949001,,,1.47,,,,0.52290004,,,,,3.2575002,3.2801003,2.1598,,0.9411,1.3086001,1.2391,1.0198001,1.7886001,,0.7318,1.1314001,,,,,3.2206004,,,1.2245001,,1.4141,,0.097
1968,0.6729001,0.59580004,,0.51390004,2.9059,,,1.003,,,0.55,0.82390004,1.2065,3.8867002,1.1413001,1.0,,3.0189002,3.3980002,0.62950003,,0.97110003,,1.8494002,2.0095,2.5111003,,0.9754001,,1.2494001,1.8519001,,,1.7983001,1.6667,,,1.5201,,,,0.70000005,,,,,3.1944,3.3631003,2.2829,,1.0358001,1.4055,1.0455,0.9691,1.9795,,0.8334001,1.0996001,,,,,3.0816002,,,1.1884,,1.4476,,0.0636
1969,0.8363,0.7135,,0.3314,2.9896002,,,1.1723001,,,0.4,0.8431,1.1211001,3.8312001,1.21,1.0,,2.8352,3.2849,0.4444,,0.9782001,,1.7997,2.0079002,3.0689,,1.0578,,1.2831,3.0864,,,1.8605001,1.7500001,,,1.72,,,,0.53330004,,,,,3.3369,3.0889,2.4911003,,1.0664,1.4419001,1.0928001,0.91510004,1.9567001,,0.7088,1.1221,,,,,2.5491002,,,1.1979,,1.4685,,0.0737
1970,0.9215,0.5015,,0.5443,2.6559,,,1.2606001,,,0.4,0.8274001,1.4271001,3.9113002,1.2931,1.0385001,,2.6843002,3.0055,0.4,,0.8263,,1.9939001,2.1259,2.9676003,,1.2658001,,1.0415001,3.0769,,,1.94,1.7500001,,,1.6199001,,,,0.887,,,,,3.0438,3.1788,2.0703,,1.1652,1.3820001,1.1339,0.8416,1.5920001,,0.6736,0.9509001,,,,,2.8616002,,,0.9692001,,1.6204001,,0.29170004
1971,0.8633,0.5916,,0.5285,3.088,,,1.2576001,,,0.5,0.83790004,1.4374001,4.2892003,1.3903002,1.0236,,3.1232002,3.5410001,0.4,,0.92350006,,2.0,2.2858002,2.8246002,,1.3160001,,1.4197,3.0864,,,1.8636,1.7500001,,,1.7,,,,0.5895,,,,,3.4806004,3.6990001,2.6493,,1.2105,1.5857,1.2217,0.8696,2.1094,,0.7494001,1.3718001,,,,,3.6945002,,,1.3664001,,1.7645001,,0.24000001
1972,0.93230003,0.9243,,0.31920004,2.7939,,,1.2858001,,,0.5,0.8043,1.3379,4.1254,1.3481001,1.0156,,3.2368002,3.6342,0.41670004,,0.9461,,2.0034,2.6083002,2.9815001,,1.3898001,,1.4375001,2.7473001,,,2.1202002,1.9091,,,1.7336,,,,1.8519001,,,,,2.7815,3.4698002,2.7339,,1.0625,1.5706,1.1538001,0.8134001,2.2998002,,0.7289001,1.3942,,,,,3.4192002,,,1.2080001,,1.6891,,0.21210001
1973,0.8768,0.93450004,,0.2851,3.2499,,,1.2546,,,0.5,0.81750005,1.4151001,4.0519,1.3519001,1.125,,3.0878003,3.3621004,0.5,,0.94000006,,2.3885002,2.6908002,3.2,,1.2264001,,1.6591,1.9802,,,2.1132,2.0,,,1.6905,,,,1.8640001,,,,,3.3865001,3.5882,3.0799,,1.3805001,1.7547001,1.2292,0.86230004,2.4205,,0.6467,1.2,,,,,3.4135,,,1.1311,,1.6219001,,0.18750001
1974,0.93820006,0.81670004,,0.30420002,3.3746002,,,1.4105,,,0.5,0.89290005,1.4633001,4.6171002,1.3764001,1.1667,,3.3522,3.6681004,0.5,,1.0201,,1.8311001,2.8571002,3.5000002,,1.529,,1.6736001,2.2222002,,,2.0784,2.0,,,1.2627,,,,1.7500001,,,,,3.5146003,3.8775003,3.0848002,,1.3965001,1.7400001,1.3187,0.84470004,2.512,,0.68070006,1.3063002,,,,,4.0516005,,,0.9333,,1.4016,,0.1429
1975,0.88890004,0.91220003,,0.46660003,2.9231002,,,1.0990001,,,0.75000006,0.93160003,1.6511,3.9380002,1.2729001,1.3636,,3.0296001,3.2705002,0.5,,1.0571,,2.1463,2.7748,3.1667001,,1.5666001,,1.4102,2.4221003,,,2.1868002,2.2,,,1.5329001,,,,1.5920001,,,,,3.4535003,2.9972,2.7940001,,1.0187,1.514,1.1772,0.84230006,2.2458003,,0.6921,1.2683,,,,,3.4211004,,,1.3274001,,1.373,,0.1429
1976,1.1111001,0.9706,,0.4544,3.4293003,,,1.2047,,,0.5,0.95750004,1.7583002,4.5806003,0.97370005,1.4545001,,2.8138,2.9543002,0.5,,0.95530003,,2.7331002,2.5295,2.5,,1.6889001,,1.6932,2.4691002,,,2.2064,2.2,,,1.2735001,,,,1.1844001,,,,,3.0616002,3.0247002,3.0098002,,1.3935001,1.7175001,1.3832,0.8532001,2.3591,,0.7537001,1.4000001,,,,,3.4715002,,,1.3989,,1.3000001,,0.1429
1977,1.0,0.7083,,0.31870002,2.9587002,,,1.1849,,,0.5,0.91700006,1.6247001,4.0374002,1.4404001,1.0909001,,3.1676002,3.6454,0.5,,0.96440005,,1.7021,2.907,3.5140002,,1.5021,,1.5842,2.5,,,2.0962,2.3000002,,,1.0866001,,,,1.1176001,,,,,3.4827,3.4106002,3.0486002,,1.1393001,1.5983001,1.2609001,0.84040004,2.0058002,,0.5413,1.95,,,,,3.045,,,1.3269001,,1.5338001,,0.2
1978,1.0,0.80770004,,0.5223,3.7601004,,,1.4474001,,,0.5,0.89720005,1.9031,4.7385,0.9574001,1.3750001,,3.3416002,3.7455,0.5,,1.0973,,1.945,3.1379,3.4674,,1.7114002,,1.766,2.8571002,,,2.3245,2.2881002,,,1.0972,,,,1.1243001,,,,,3.9824002,3.3830001,3.4015002,,1.5870001,1.9162,1.2721001,0.90120006,2.4535,,0.57490003,1.8500001,,,,,3.7007,,,1.322,,1.6312001,,0.15
1979,1.0,0.8978,,0.3524,2.6338003,,,1.5098001,,,0.4684,0.9089001,1.5946001,4.7203,1.2171,1.8000001,,3.1749,3.6783001,0.5,,1.0064001,,2.0921001,3.0603,3.7369,,1.7243001,,1.3419001,3.3333,,,2.4208002,2.3611002,,,2.0019002,,,,1.0943002,,,,,4.0081005,3.1708002,2.9537,,1.1268001,1.5873002,1.3729001,0.855,1.8133001,,0.57540005,1.5714,,,,,3.2825003,,,1.3191,,1.6162,,0.18180001
1980,0.97090006,0.7381,,0.4309,3.5044,,,1.4129001,,,0.49370003,0.85800004,1.4555001,4.3435,1.2582,1.5556,,3.2773001,3.5613003,0.5,,1.3083001,,2.3189,3.1691003,3.8449001,,1.9011,,1.9257001,4.0,,,2.3792,2.5075002,,,1.608,,,,1.1028001,,,,,3.9659002,3.3333,3.2142,,1.0380001,1.5563002,1.4364,0.5288,2.1607,,0.94250005,2.1714,,,,,3.3515003,,,1.1986,,1.5410001,,0.1333
1981,0.63040006,0.9186,,0.45940003,3.167,,,1.2698001,,,0.75000006,1.0055001,2.0899,4.4932003,1.0502,1.5629001,,3.0924,4.1695004,0.5,,0.96320003,,1.57,2.9122,4.1667004,,1.8798001,,1.5721,4.0,,,2.1779,1.8923001,,,1.6265001,,,,1.0150001,,,,,3.8395002,3.6250002,3.1805003,,1.1377,1.6404,1.3889,0.5141,2.242,,0.88430005,2.1513002,,,,,3.5435002,,,1.2927,,1.6666001,,0.1944
1982,0.77320004,0.85200006,,0.22810002,3.4742,,,1.455,,,0.70000005,0.80550003,2.0416,4.6998,1.0929,1.7500001,,3.545,4.2807,0.5,,0.79800004,,2.1472,2.9353,4.1667004,,2.0338001,,1.5952001,3.5000002,,,2.4172,1.5152,,,1.8950001,,,,1.0497,,1.0,,,4.4637003,3.2951002,3.3062,,1.3867,1.7908001,1.5849001,0.3513,2.381,,0.86380005,2.1023002,,,,,3.8938003,,,1.376,,1.8079001,,0.21210001
1983,0.88500005,0.8105,,0.46490002,3.7313,,,1.2324001,,,0.625,0.7946,1.9365001,4.7174,0.9121,1.9375001,,3.1877,4.1217003,0.5,,1.1624001,,2.4861002,2.901,3.4286003,,1.8623002,,1.909,2.3333,,,2.3713002,0.6,,,1.6502,,,,1.0556,,,,,3.8671002,3.4034002,3.7007,,1.5395001,1.9119002,1.6275,0.3476,2.5469,,0.69780004,1.7123002,,,,,3.8177001,,,1.3818,,1.9003001,,0.18750001
1984,1.0926,0.9786,,0.4494,4.0708003,,,1.4562,,,0.7108,0.7561,1.7955,5.4795003,1.292,2.2667,,3.8364,4.9881005,0.45000002,,1.3669001,,2.0930002,3.4216003,4.6667004,,1.8154001,,2.5681002,2.6667001,,,2.6185002,0.18330002,,,1.6957,,,,1.0133001,,,,,4.2907004,4.0361004,3.7007,,1.3534001,1.9529002,1.7075001,0.3783,2.6910002,,0.79510003,3.0000002,,,,,3.9919002,,,1.4402,,2.0730002,,0.2
1985,1.09,1.0444001,,0.5005,3.8431003,,,1.5156001,,,0.591,1.0484,1.6116,5.294,2.2823002,1.8329002,,3.8754,4.4845004,0.3125,,1.2911,,2.3236003,3.3998003,4.375,,1.9817001,,1.9415001,2.6667001,,,2.5191002,0.8654001,,,1.7329001,,,,1.0133001,,,,,4.2211003,3.9326003,3.4566002,,1.5021,1.9284002,1.728,0.37500003,2.4652002,,0.7896,2.2333002,,,,,3.4072,,,1.5503001,,1.8087001,,0.076900005
1986,1.0,0.92740005,,0.73450005,3.4002001,,,1.7323002,,,0.597,1.0049001,1.9330001,4.4289002,1.8437,1.5622001,,3.8162,4.552,0.25,,0.99450004,,2.6541002,2.8272002,4.5714,,2.2308002,,1.9383001,2.0,,,2.6531003,0.83330005,,,1.6886001,,,,1.0256001,,3.0000002,,,4.8585,3.0200002,3.5238001,,1.5788001,1.9787,1.7513001,0.39060003,2.5630002,,1.0591,1.7234001,,,,,3.9605002,,,1.5852001,,1.8138001,,0.0714
1987,1.0,0.9175,,0.61820006,3.6179001,,,1.6824001,,,0.60920006,1.3488001,1.5713001,4.3885,2.0151,1.7487,,3.6384,3.7843003,0.5016,,1.4363002,,1.9682001,3.6463003,4.7761,,1.7778001,,1.9803002,2.0,,,2.6742,0.814,,,1.4677,,,,1.0,,3.5000002,,,4.1955004,3.7698002,3.4992,,1.6547,1.9839001,1.6829001,0.36760002,2.5756001,1.1923001,1.1111001,1.9286001,,,,,3.4036002,,,1.5813001,,1.8268001,,0.076900005
1988,0.78330004,0.75490004,,0.4918,4.0493,,,1.9419001,,,0.6,1.041,1.0412,5.1705003,1.7529001,1.6352,,3.4158,4.563,0.22330001,,1.6154001,,1.9102,3.5403001,4.8571005,,2.15,,2.6376002,2.0,0.619,,2.3958,0.93750006,,,1.6869001,,,,1.0,,3.0000002,,,4.2991004,2.9597,3.7431002,,1.6685001,1.9142001,1.9225001,0.34470004,2.3659,1.1765001,0.83360004,2.6000001,,,,,3.7893002,,,1.5671,,1.5494001,,0.055600002
1989,0.77500004,0.77570003,,0.5646,4.188,,,2.0883002,,,0.5942,1.0397,1.7743001,5.5614,3.107,1.5263001,,3.877,4.8723,0.2974,2.0,1.4874,,2.8557,3.5776002,5.1429,,2.288,,2.7579,2.0,,,2.5909,0.81820005,,,1.6234001,,,,1.0,,3.5000002,,,5.0262003,3.5443003,4.0494003,,1.7019001,2.0227,2.0232,0.35410002,2.7325,1.2088001,1.0981001,2.375,,,,,4.7023,,,1.0611,,1.7686001,,0.0333
1990,0.66670007,0.81030005,,0.7016,4.26,,,2.0118,,,0.58100003,1.0319,1.7561,5.0493,2.6996002,1.4916,,3.7789001,5.0211005,0.28910002,1.9412,1.322,,3.0111003,3.6424,4.8780003,,1.8462,,2.5255,2.1925,,,2.5663002,0.58820003,,,1.7500001,,,,0.83360004,,3.0000002,,,4.1841,2.6165001,4.3063,,2.0969,2.2713,1.9078002,0.41950002,2.6114001,1.1765001,1.0151,2.0177,,,,,4.7455,,,1.5205001,,1.7029,,0.05
1991,0.35870004,0.81030005,,0.79700005,4.1200004,,,1.8196001,,,0.7206,1.2026,1.8744001,5.0929003,2.9952002,1.5101,,4.6776004,4.9563003,0.2552,2.0,1.2689,,2.7115002,3.7011003,5.6977005,,2.2897,,2.3700001,2.0,0.52900004,,2.4776,0.5,,,1.3714001,,,,1.0,,2.5782,,,4.7824,3.1207001,3.7993002,,1.7144,2.0339,2.0270002,0.8705,2.5767,1.1917,0.9286,1.3655001,,,,,3.9450002,,,1.6496,,1.5468001,,0.0615
1992,1.2466,0.90550005,0.9088,0.6765,4.02,1.4694,,1.6632,2.4,3.0597,0.65220004,1.0412,1.9333001,5.4680004,2.9573002,1.6852,,3.9414,3.4967,0.21860002,2.0,1.1548,2.4699001,2.5094001,3.8245,4.5659003,0.5,2.1143003,2.6949,1.9200001,2.1109,0.70570004,,2.7410002,,0.85800004,1.0,1.3333001,2.0916002,,2.2451003,1.0,2.0233002,3.3538003,1.6344001,,5.5503,2.5849001,3.5751002,1.6,,2.0106,,0.8755,1.9575001,1.1958001,0.9261,1.4554001,1.8335,,,2.5877001,4.0774,0.99280006,1.9829001,1.5355,2.3205001,1.8365,1.7207,0.0588
1993,1.1586,0.70690006,0.45870003,0.7882,3.9570003,0.94280005,,1.3129001,2.342,2.7951002,0.68890005,0.975,1.9777,5.9659004,2.4008002,1.6250001,3.8129,4.5082006,4.5063,0.31360003,1.9886,1.9047,1.9790001,2.7709,3.9427001,5.1184,0.5084,2.0009,2.5573,1.6712,2.1520002,,,2.8500001,,1.3924001,1.5000001,1.5000001,1.8776001,,1.8161001,0.9919001,2.5656002,2.0,1.065,,5.5676003,3.9221003,,1.4725001,,2.0038002,,0.8783,2.256,1.2121,0.92020005,1.5648001,1.5411,,3.0313003,2.2065,5.1122003,0.68240005,,1.5935,2.3647,1.7034001,1.4528002,0.0667
1994,1.4106001,0.8626,1.5000001,0.57140005,4.1390004,1.3121,,1.5391,2.4545002,2.2536001,0.70000005,0.9844001,2.1227,5.3741,1.4596001,1.815,3.5094001,4.7757006,4.7729,0.6571,2.0,1.3432,1.9075001,2.5814,3.9190001,6.1429,0.68320006,2.065,2.4117,2.1839,2.1857,0.51220006,,2.8669,,0.8880001,1.5000001,1.2888001,1.5381,,1.8086001,1.0,1.6118001,4.0,1.5045,,4.7321005,2.2516003,,1.6667,,2.0445,,0.88070005,2.1755002,1.2005,0.9649001,1.7814001,1.5372,,3.0878003,2.9229,4.4507003,0.8251,,1.3418001,1.9773002,1.7490001,1.5405,0.0638
1995,1.3753002,0.96040004,2.0,0.57140005,4.085,0.6326,,1.3714001,2.4533002,2.2119,0.7061,0.97880006,1.9111,6.0074,1.7026,1.5789001,3.3013003,5.2489,5.1521006,0.70000005,2.0,1.0188,1.8189001,2.7740002,4.1034,5.3750005,0.20660001,2.1997,2.6171002,2.229,2.2164,,,2.7826002,,0.5713,1.8333001,0.3846,1.7765001,,1.7649001,1.0,1.9318001,5.0,1.6322,,5.1829,3.5455003,,1.7,,2.1593,,0.8741,2.5647001,1.2097,0.58250004,2.0745,1.2621,,2.8906002,3.0229,5.1990004,0.90550005,,1.6542001,1.9900001,1.6407,1.9667001,0.06340001
